path,kind,zone,mutability,lead_agentz,support_agentz,agentz_passes,status,last_checked,route,receipt
01_EMERGENTISM_ORG/06_ONTOLOGY,folder,ontology-root,active-ontology-apophatic-boundary,L6 Sadhu,L1 Candala; L2 Sudra; L3 Vaisya; L4 Ksatriya; L5 Brahmana; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,ROUTE_SURFACE_COVERED,2026-06-04,Ontology root; Ground/model distinction, apophatic closure, anti-reification, and K3 tombstone discipline.,03_AGENTZ_DEPLOYMENT_06_ONTOLOGY_2026_06_04.md
01_EMERGENTISM/06_ONTOLOGY/00_D5_D6_CORPUS_STABILIZATION.md,markdown-document,ontology-root,active-upper-boundary-stabilization,L6 Sadhu,L1 Candala; L2 Sudra; L3 Vaisya; L4 Ksatriya; L5 Brahmana; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,DOCUMENT_COVERED,2026-06-04,D5/D6 corpus stabilization; upper-boundary interpretation rule for older D6 language.,03_AGENTZ_DEPLOYMENT_06_ONTOLOGY_2026_06_04.md
01_EMERGENTISM/06_ONTOLOGY/00_D6_AS_APOPHATIC_CLOSURE.md,markdown-document,ontology-root,active-apophatic-closure,L6 Sadhu,L1 Candala; L2 Sudra; L3 Vaisya; L4 Ksatriya; L5 Brahmana; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,DOCUMENT_COVERED,2026-06-04,D6 apophatic closure; prevents metaphysical inflation and public-register overclaiming.,03_AGENTZ_DEPLOYMENT_06_ONTOLOGY_2026_06_04.md
01_EMERGENTISM/06_ONTOLOGY/00_FINITY_AS_ONTOLOGICAL_BOUNDARY.md,markdown-document,ontology-root,active-finity-boundary-note,L6 Sadhu,L1 Candala; L2 Sudra; L3 Vaisya; L4 Ksatriya; L5 Brahmana; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,DOCUMENT_COVERED,2026-06-04,Finity as ontological boundary; finite disclosure without mathematical overclaim or Ground possession.,03_AGENTZ_DEPLOYMENT_06_ONTOLOGY_2026_06_04.md
01_EMERGENTISM/06_ONTOLOGY/00_ONTOLOGY_ACROSS_DIMENSIONS.md,markdown-document,ontology-root,active-dimensional-crosswalk,L6 Sadhu,L1 Candala; L2 Sudra; L3 Vaisya; L4 Ksatriya; L5 Brahmana; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,DOCUMENT_COVERED,2026-06-06,Ontology across dimensions; D0-D6 crosswalk preserving Ground/model distinction and D6 apophatic closure.,03_AGENTZ_DEPLOYMENT_06_ONTOLOGY_2026_06_04.md
01_EMERGENTISM_ORG/06_ONTOLOGY/00_SYNCRETIC_MAP_AUDIT.md,markdown-tombstone,ontology-root,k3-tombstone-provenance-only,L6 Sadhu,L1 Candala; L2 Sudra; L3 Vaisya; L4 Ksatriya; L5 Brahmana; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,K3_TOMBSTONE_COVERED,2026-06-04,Superseded sync-map audit; provenance only, corrected by Rosetta Stone ology mapping.,03_AGENTZ_DEPLOYMENT_06_ONTOLOGY_2026_06_04.md
01_EMERGENTISM/06_ONTOLOGY/00_THE_ONTOLOGY_OF_BEING.md,markdown-document,ontology-root,active-core-state-of-being,L6 Sadhu,L1 Candala; L2 Sudra; L3 Vaisya; L4 Ksatriya; L5 Brahmana; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,DOCUMENT_COVERED,2026-06-04,Core state of Being; Ground, Being, Teleological Force, Dasein, and beings distinction.,03_AGENTZ_DEPLOYMENT_06_ONTOLOGY_2026_06_04.md
01_EMERGENTISM/06_ONTOLOGY/00_THE_RING_THAT_IS_THE_GROUND.md,markdown-document,ontology-root,active-interpretive-symbolic-translation,L6 Sadhu,L1 Candala; L2 Sudra; L3 Vaisya; L4 Ksatriya; L5 Brahmana; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,DOCUMENT_COVERED,2026-06-04,Interpretive mythic translation; must be read through anti-reification and eta-axis guards.,03_AGENTZ_DEPLOYMENT_06_ONTOLOGY_2026_06_04.md
01_EMERGENTISM_ORG/06_ONTOLOGY/00_THE_SYNCRETIC_MAP.md,markdown-tombstone,ontology-root,k3-tombstone-provenance-only,L6 Sadhu,L1 Candala; L2 Sudra; L3 Vaisya; L4 Ksatriya; L5 Brahmana; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,K3_TOMBSTONE_COVERED,2026-06-04,Superseded syncretic map; provenance only, corrected to Teleology equals L1 and Theurgy equals L4.,03_AGENTZ_DEPLOYMENT_06_ONTOLOGY_2026_06_04.md
01_EMERGENTISM/06_ONTOLOGY/01_APOPHATIC_GROUND_AND_FIELD_STRUCTURE.md,markdown-document,ontology-root,active-apophatic-ground-field-structure,L6 Sadhu,L1 Candala; L2 Sudra; L3 Vaisya; L4 Ksatriya; L5 Brahmana; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,DOCUMENT_COVERED,2026-06-04,Axiomatic ground, S2 substrate, anti-reification, practice, and agent-as-field-excitation surface.,03_AGENTZ_DEPLOYMENT_06_ONTOLOGY_2026_06_04.md
01_EMERGENTISM/06_ONTOLOGY/AGENTS.md,markdown-front-door,ontology-root,active-agent-route-card,L6 Sadhu,L1 Candala; L2 Sudra; L3 Vaisya; L4 Ksatriya; L5 Brahmana; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,ROUTE_SURFACE_COVERED,2026-06-04,L6 agent route card; Ontology subtracts reification and owns Ground/model distinction.,03_AGENTZ_DEPLOYMENT_06_ONTOLOGY_2026_06_04.md
