path,kind,zone,mutability,lead_agentz,support_agentz,agentz_passes,status,last_checked,route,receipt
01_EMERGENTISM/00_META,folder,meta-root,active-meta-control-plane,L5 Brahmana,L1 Candala; L2 Sudra; L3 Vaisya; L4 Ksatriya; L6 Sadhu; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,ROUTE_SURFACE_COVERED,2026-06-04,"Meta control plane; routing, audit ledgers, translation protocol, corpus repair discipline.",03_AGENTZ_DEPLOYMENT_00_META_2026_06_04.md
01_EMERGENTISM_ORG/00_META/90_ARCHIVE,folder,meta-archive,archive-only-provenance,L6 Sadhu,L1 Candala; L2 Sudra; L3 Vaisya; L4 Ksatriya; L5 Brahmana; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,ARCHIVE_ROUTE_COVERED,2026-06-04,Historical audit provenance; not current source authority.,03_AGENTZ_DEPLOYMENT_00_META_2026_06_04.md
01_EMERGENTISM/00_META/00_CLEANUP_AUDIT_CORRECTIONS_2026_05_31.md,markdown-document,meta-root,active-meta-control-plane,L5 Brahmana,L1 Candala; L2 Sudra; L3 Vaisya; L4 Ksatriya; L6 Sadhu; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,DOCUMENT_COVERED,2026-06-04,"Meta control plane; routing, audit ledgers, translation protocol, corpus repair discipline.",03_AGENTZ_DEPLOYMENT_00_META_2026_06_04.md
01_EMERGENTISM/00_META/00_CONSTITUTIONAL_INVARIANTS_O1_STAGING_2026_05_30.md,markdown-document,meta-root,active-meta-control-plane,L5 Brahmana,L1 Candala; L2 Sudra; L3 Vaisya; L4 Ksatriya; L6 Sadhu; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,DOCUMENT_COVERED,2026-06-04,"Meta control plane; routing, audit ledgers, translation protocol, corpus repair discipline.",03_AGENTZ_DEPLOYMENT_00_META_2026_06_04.md
01_EMERGENTISM/00_META/00_CORPUS.md,markdown-document,meta-root,active-meta-control-plane,L5 Brahmana,L1 Candala; L2 Sudra; L3 Vaisya; L4 Ksatriya; L6 Sadhu; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,DOCUMENT_COVERED,2026-06-04,"Meta control plane; routing, audit ledgers, translation protocol, corpus repair discipline.",03_AGENTZ_DEPLOYMENT_00_META_2026_06_04.md
01_EMERGENTISM/00_META/00_D_LEVEL_STUDIES.md,markdown-document,meta-root,active-meta-control-plane,L5 Brahmana,L1 Candala; L2 Sudra; L3 Vaisya; L4 Ksatriya; L6 Sadhu; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,DOCUMENT_COVERED,2026-06-04,"Meta control plane; routing, audit ledgers, translation protocol, corpus repair discipline.",03_AGENTZ_DEPLOYMENT_00_META_2026_06_04.md
01_EMERGENTISM/00_META/00_D_SCAFFOLD_L_LADDER_BRIDGE.md,markdown-document,meta-root,active-meta-control-plane,L5 Brahmana,L1 Candala; L2 Sudra; L3 Vaisya; L4 Ksatriya; L6 Sadhu; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,DOCUMENT_COVERED,2026-06-04,"Meta control plane; routing, audit ledgers, translation protocol, corpus repair discipline.",03_AGENTZ_DEPLOYMENT_00_META_2026_06_04.md
01_EMERGENTISM/00_META/00_KNOWN_UNKNOWNS_PROGRAM.md,markdown-document,meta-root,active-meta-control-plane,L5 Brahmana,L1 Candala; L2 Sudra; L3 Vaisya; L4 Ksatriya; L6 Sadhu; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,DOCUMENT_COVERED,2026-06-04,"Meta control plane; routing, audit ledgers, translation protocol, corpus repair discipline.",03_AGENTZ_DEPLOYMENT_00_META_2026_06_04.md
01_EMERGENTISM/00_META/00_RECONCILIATION_SCOPE_BOUNDARY_NOTE.md,markdown-document,meta-root,active-meta-control-plane,L5 Brahmana,L1 Candala; L2 Sudra; L3 Vaisya; L4 Ksatriya; L6 Sadhu; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,DOCUMENT_COVERED,2026-06-04,"Meta control plane; routing, audit ledgers, translation protocol, corpus repair discipline.",03_AGENTZ_DEPLOYMENT_00_META_2026_06_04.md
01_EMERGENTISM/00_META/00_SETTLED_CANON_REGISTRY.md,markdown-document,meta-root,active-meta-control-plane,L5 Brahmana,L1 Candala; L2 Sudra; L3 Vaisya; L4 Ksatriya; L6 Sadhu; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,DOCUMENT_COVERED,2026-06-04,"Meta control plane; routing, audit ledgers, translation protocol, corpus repair discipline.",03_AGENTZ_DEPLOYMENT_00_META_2026_06_04.md
