path,kind,zone,mutability,lead_agentz,support_agentz,agentz_passes,status,last_checked,route,receipt
01_EMERGENTISM/01_TELEOLOGY,folder,teleology-root,active-objective-function-boundary,L1 Candala,L2 Sudra; L3 Vaisya; L4 Ksatriya; L5 Brahmana; L6 Sadhu; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,ROUTE_SURFACE_COVERED,2026-06-04,"Teleology root; L1 Objective Function, F5, ektropy, Power Max, and directional-boundary discipline.",03_AGENTZ_DEPLOYMENT_01_TELEOLOGY_2026_06_04.md
01_EMERGENTISM/01_TELEOLOGY/01_F5_FORCE,folder,f5-force,active-f5-staged-gradient-boundary,L1 Candala,L2 Sudra; L3 Vaisya; L4 Ksatriya; L5 Brahmana; L6 Sadhu; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,ROUTE_SURFACE_COVERED,2026-06-04,"Focused F5 lane; ektropy, ordering-force, staged-gradient language, and literal-force caution.",03_AGENTZ_DEPLOYMENT_01_TELEOLOGY_2026_06_04.md
01_EMERGENTISM/01_TELEOLOGY/02_THE_DERIVATION,folder,derivation,active-derivation-proof-boundary,L3 Vaisya,L1 Candala; L2 Sudra; L4 Ksatriya; L5 Brahmana; L6 Sadhu; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,ROUTE_SURFACE_COVERED,2026-06-04,"Derivation lane; proof verification, numerical status checks, and tier movement before public or operational reuse.",03_AGENTZ_DEPLOYMENT_01_TELEOLOGY_2026_06_04.md
01_EMERGENTISM_ORG/01_TELEOLOGY/90_ARCHIVE,folder,local-archive,archive-provenance-only,L6 Sadhu,L1 Candala; L2 Sudra; L3 Vaisya; L4 Ksatriya; L5 Brahmana; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,ROUTE_SURFACE_COVERED,2026-06-04,Local archive; historical derivation hardening fragments are non-authoritative unless current source-owner files cite them.,03_AGENTZ_DEPLOYMENT_01_TELEOLOGY_2026_06_04.md
01_EMERGENTISM/01_TELEOLOGY/00_FROM_LAGRANGIAN_TO_DAC.md,markdown-document,teleology-root,active-objective-function-boundary,L1 Candala,L2 Sudra; L3 Vaisya; L4 Ksatriya; L5 Brahmana; L6 Sadhu; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,DOCUMENT_COVERED,2026-06-04,"Teleology root; F5, ektropy, Power Max, objective-function spectrum, and source summaries.",03_AGENTZ_DEPLOYMENT_01_TELEOLOGY_2026_06_04.md
01_EMERGENTISM/01_TELEOLOGY/00_NEOTENY_THE_HARDWARE_UPGRADE.md,markdown-document,teleology-root,active-objective-function-boundary,L1 Candala,L2 Sudra; L3 Vaisya; L4 Ksatriya; L5 Brahmana; L6 Sadhu; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,DOCUMENT_COVERED,2026-06-04,"Teleology root; F5, ektropy, Power Max, objective-function spectrum, and source summaries.",03_AGENTZ_DEPLOYMENT_01_TELEOLOGY_2026_06_04.md
01_EMERGENTISM/01_TELEOLOGY/00_SATURATION_AND_RETURN.md,markdown-document,teleology-root,active-objective-function-boundary,L1 Candala,L2 Sudra; L3 Vaisya; L4 Ksatriya; L5 Brahmana; L6 Sadhu; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,DOCUMENT_COVERED,2026-06-04,"Teleology root; F5, ektropy, Power Max, objective-function spectrum, and source summaries.",03_AGENTZ_DEPLOYMENT_01_TELEOLOGY_2026_06_04.md
01_EMERGENTISM/01_TELEOLOGY/00_THE_FRAMEWORK_ON_ITS_OWN_TELEOLOGY_SPECTRUM.md,markdown-document,teleology-root,active-objective-function-boundary,L1 Candala,L2 Sudra; L3 Vaisya; L4 Ksatriya; L5 Brahmana; L6 Sadhu; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,DOCUMENT_COVERED,2026-06-04,"Teleology root; F5, ektropy, Power Max, objective-function spectrum, and source summaries.",03_AGENTZ_DEPLOYMENT_01_TELEOLOGY_2026_06_04.md
01_EMERGENTISM/01_TELEOLOGY/00_THE_GENERATIVE_LAGRANGIAN.md,markdown-document,teleology-root,active-objective-function-boundary,L1 Candala,L2 Sudra; L3 Vaisya; L4 Ksatriya; L5 Brahmana; L6 Sadhu; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,DOCUMENT_COVERED,2026-06-04,"Teleology root; F5, ektropy, Power Max, objective-function spectrum, and source summaries.",03_AGENTZ_DEPLOYMENT_01_TELEOLOGY_2026_06_04.md
01_EMERGENTISM/01_TELEOLOGY/00_THE_HIDDEN_CENTER_OF_THE_FRAMEWORK.md,markdown-document,teleology-root,active-objective-function-boundary,L1 Candala,L2 Sudra; L3 Vaisya; L4 Ksatriya; L5 Brahmana; L6 Sadhu; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,DOCUMENT_COVERED,2026-06-04,"Teleology root; F5, ektropy, Power Max, objective-function spectrum, and source summaries.",03_AGENTZ_DEPLOYMENT_01_TELEOLOGY_2026_06_04.md
