path,kind,zone,mutability,lead_agentz,support_agentz,agentz_passes,status,last_checked,route,receipt
01_EMERGENTISM/03_METHODOLOGY,folder,methodology-root,active-methodology-with-tier-discipline,L3 Vaisya,L1 Candala; L2 Sudra; L4 Ksatriya; L5 Brahmana; L6 Sadhu; L7 Rsi,L1+L2+L3+L5+L6+L7,ROUTE_SURFACE_COVERED,2026-06-05,"Methodology root; tests, claim matrix, science status, derivation, papers, and execution guardrails.",03_AGENTZ_DEPLOYMENT_03_METHODOLOGY_2026_06_04.md
01_EMERGENTISM/03_METHODOLOGY/01_THE_DERIVATION,folder,methodology-derivation,active-methodology-with-tier-discipline,L3 Vaisya,L1 Candala; L2 Sudra; L4 Ksatriya; L5 Brahmana; L6 Sadhu; L7 Rsi,L1+L2+L3+L5+L6+L7,ROUTE_SURFACE_COVERED,2026-06-05,Methodology derivation spine; proof and inference route.,03_AGENTZ_DEPLOYMENT_03_METHODOLOGY_2026_06_04.md
01_EMERGENTISM/03_METHODOLOGY/02_THE_PAPERS,folder,methodology-papers,active-methodology-with-tier-discipline,L3 Vaisya,L1 Candala; L2 Sudra; L4 Ksatriya; L5 Brahmana; L6 Sadhu; L7 Rsi,L1+L2+L3+L5+L6+L7,ROUTE_SURFACE_COVERED,2026-06-05,"Methodology paper surface; proof, model, translation, and conjecture stay separated.",03_AGENTZ_DEPLOYMENT_03_METHODOLOGY_2026_06_04.md
01_EMERGENTISM/03_METHODOLOGY/02_THE_PAPERS/FINITY_PAPERS,folder,methodology-papers,active-methodology-with-tier-discipline,L3 Vaisya,L1 Candala; L2 Sudra; L4 Ksatriya; L5 Brahmana; L6 Sadhu; L7 Rsi,L1+L2+L3+L5+L6+L7,ROUTE_SURFACE_COVERED,2026-06-05,"Methodology paper surface; proof, model, translation, and conjecture stay separated.",03_AGENTZ_DEPLOYMENT_03_METHODOLOGY_2026_06_04.md
01_EMERGENTISM/03_METHODOLOGY/02_THE_PAPERS/FINITY_PAPERS/_SOURCES,folder,methodology-papers,active-methodology-with-tier-discipline,L3 Vaisya,L1 Candala; L2 Sudra; L4 Ksatriya; L5 Brahmana; L6 Sadhu; L7 Rsi,L1+L2+L3+L5+L6+L7,ROUTE_SURFACE_COVERED,2026-06-05,"Methodology paper surface; proof, model, translation, and conjecture stay separated.",03_AGENTZ_DEPLOYMENT_03_METHODOLOGY_2026_06_04.md
01_EMERGENTISM/03_METHODOLOGY/03_PREREGISTRATIONS,folder,methodology-preregistrations,frozen-evidence-design,L3 Vaisya,L1 Candala; L2 Sudra; L4 Ksatriya; L5 Brahmana; L6 Sadhu; L7 Rsi,L1+L2+L3+L5+L6+L7,ROUTE_SURFACE_COVERED,2026-06-05,Preregistration and evidence-design surface; negative or mixed results stay visible.,03_AGENTZ_DEPLOYMENT_03_METHODOLOGY_2026_06_04.md
01_EMERGENTISM_ORG/03_METHODOLOGY/90_ARCHIVE,folder,methodology-archive,archive-only-provenance,L6 Sadhu,L1 Candala; L2 Sudra; L4 Ksatriya; L5 Brahmana; L6 Sadhu; L7 Rsi,L1+L2+L3+L5+L6+L7,ARCHIVE_ONLY_COVERED,2026-06-05,Historical methodology provenance; not current source authority.,03_AGENTZ_DEPLOYMENT_03_METHODOLOGY_2026_06_04.md
01_EMERGENTISM/03_METHODOLOGY/00_AIA_ONTOLOGICAL_ALIGNMENT_FRAMEWORK_PHASE1_BLUEPRINT.md,markdown-document,methodology-root,active-methodology-with-tier-discipline,L3 Vaisya,L1 Candala; L2 Sudra; L4 Ksatriya; L5 Brahmana; L6 Sadhu; L7 Rsi,L1+L2+L3+L5+L6+L7,DOCUMENT_COVERED,2026-06-05,"Methodology root; tests, claim matrix, science status, derivation, papers, and execution guardrails.",03_AGENTZ_DEPLOYMENT_03_METHODOLOGY_2026_06_04.md
01_EMERGENTISM/03_METHODOLOGY/00_AUDIT_REPORT_METHODOLOGY_2026_04_25.md,markdown-document,methodology-root,active-methodology-with-tier-discipline,L3 Vaisya,L1 Candala; L2 Sudra; L4 Ksatriya; L5 Brahmana; L6 Sadhu; L7 Rsi,L1+L2+L3+L5+L6+L7,DOCUMENT_COVERED,2026-06-05,"Methodology root; tests, claim matrix, science status, derivation, papers, and execution guardrails.",03_AGENTZ_DEPLOYMENT_03_METHODOLOGY_2026_06_04.md
01_EMERGENTISM/03_METHODOLOGY/00_CANONICAL_CLAIM_MATRIX.md,markdown-document,methodology-root,active-methodology-with-tier-discipline,L3 Vaisya,L1 Candala; L2 Sudra; L4 Ksatriya; L5 Brahmana; L6 Sadhu; L7 Rsi,L1+L2+L3+L5+L6+L7,DOCUMENT_COVERED,2026-06-05,"Methodology root; tests, claim matrix, science status, derivation, papers, and execution guardrails.",03_AGENTZ_DEPLOYMENT_03_METHODOLOGY_2026_06_04.md
01_EMERGENTISM/03_METHODOLOGY/00_CONSTITUTIONAL_SCIENCE.md,markdown-document,methodology-root,active-methodology-with-tier-discipline,L3 Vaisya,L1 Candala; L2 Sudra; L4 Ksatriya; L5 Brahmana; L6 Sadhu; L7 Rsi,L1+L2+L3+L5+L6+L7,DOCUMENT_COVERED,2026-06-05,"Methodology root; tests, claim matrix, science status, derivation, papers, and execution guardrails.",03_AGENTZ_DEPLOYMENT_03_METHODOLOGY_2026_06_04.md
01_EMERGENTISM/03_METHODOLOGY/00_D5_AS_THE_RESEARCH_ENGINE.md,markdown-document,methodology-root,active-methodology-with-tier-discipline,L3 Vaisya,L1 Candala; L2 Sudra; L4 Ksatriya; L5 Brahmana; L6 Sadhu; L7 Rsi,L1+L2+L3+L5+L6+L7,DOCUMENT_COVERED,2026-06-05,"Methodology root; tests, claim matrix, science status, derivation, papers, and execution guardrails.",03_AGENTZ_DEPLOYMENT_03_METHODOLOGY_2026_06_04.md
01_EMERGENTISM/03_METHODOLOGY/00_EMPIRICAL_PROGRAM_BOARD.md,markdown-document,methodology-root,active-methodology-with-tier-discipline,L3 Vaisya,L1 Candala; L2 Sudra; L4 Ksatriya; L5 Brahmana; L6 Sadhu; L7 Rsi,L1+L2+L3+L5+L6+L7,DOCUMENT_COVERED,2026-06-05,"Methodology root; tests, claim matrix, science status, derivation, papers, and execution guardrails.",03_AGENTZ_DEPLOYMENT_03_METHODOLOGY_2026_06_04.md
01_EMERGENTISM/03_METHODOLOGY/00_EXECUTION_GUARDRAILS.md,markdown-document,methodology-root,active-methodology-with-tier-discipline,L3 Vaisya,L1 Candala; L2 Sudra; L4 Ksatriya; L5 Brahmana; L6 Sadhu; L7 Rsi,L1+L2+L3+L5+L6+L7,DOCUMENT_COVERED,2026-06-05,"Methodology root; tests, claim matrix, science status, derivation, papers, and execution guardrails.",03_AGENTZ_DEPLOYMENT_03_METHODOLOGY_2026_06_04.md
01_EMERGENTISM/03_METHODOLOGY/00_GFS_WAVE1_RESULTS.md,markdown-document,methodology-root,active-methodology-with-tier-discipline,L3 Vaisya,L1 Candala; L2 Sudra; L4 Ksatriya; L5 Brahmana; L6 Sadhu; L7 Rsi,L1+L2+L3+L5+L6+L7,DOCUMENT_COVERED,2026-06-05,"Methodology root; tests, claim matrix, science status, derivation, papers, and execution guardrails.",03_AGENTZ_DEPLOYMENT_03_METHODOLOGY_2026_06_04.md
01_EMERGENTISM/03_METHODOLOGY/00_SCIENCE_STACK_STATUS.md,markdown-document,methodology-root,active-methodology-with-tier-discipline,L3 Vaisya,L1 Candala; L2 Sudra; L4 Ksatriya; L5 Brahmana; L6 Sadhu; L7 Rsi,L1+L2+L3+L5+L6+L7,DOCUMENT_COVERED,2026-06-05,"Methodology root; tests, claim matrix, science status, derivation, papers, and execution guardrails.",03_AGENTZ_DEPLOYMENT_03_METHODOLOGY_2026_06_04.md
01_EMERGENTISM/03_METHODOLOGY/00_SYNTROPIC_EGREGORE_EXECUTIVE_SUMMARY.md,markdown-document,methodology-root,active-methodology-with-tier-discipline,L3 Vaisya,L1 Candala; L2 Sudra; L4 Ksatriya; L5 Brahmana; L6 Sadhu; L7 Rsi,L1+L2+L3+L5+L6+L7,DOCUMENT_COVERED,2026-06-05,"Methodology root; tests, claim matrix, science status, derivation, papers, and execution guardrails.",03_AGENTZ_DEPLOYMENT_03_METHODOLOGY_2026_06_04.md
01_EMERGENTISM/03_METHODOLOGY/00_SYNTROPIC_KNOWN_UNKNOWNS_PROTOCOL.md,markdown-document,methodology-root,active-methodology-with-tier-discipline,L3 Vaisya,L1 Candala; L2 Sudra; L4 Ksatriya; L5 Brahmana; L6 Sadhu; L7 Rsi,L1+L2+L3+L5+L6+L7,DOCUMENT_COVERED,2026-06-05,"Methodology root; tests, claim matrix, science status, derivation, papers, and execution guardrails.",03_AGENTZ_DEPLOYMENT_03_METHODOLOGY_2026_06_04.md
01_EMERGENTISM/03_METHODOLOGY/00_THE_DOCTRINAL_LADDER.md,markdown-document,methodology-root,active-methodology-with-tier-discipline,L3 Vaisya,L1 Candala; L2 Sudra; L4 Ksatriya; L5 Brahmana; L6 Sadhu; L7 Rsi,L1+L2+L3+L5+L6+L7,DOCUMENT_COVERED,2026-06-05,"Methodology root; tests, claim matrix, science status, derivation, papers, and execution guardrails.",03_AGENTZ_DEPLOYMENT_03_METHODOLOGY_2026_06_04.md
01_EMERGENTISM/03_METHODOLOGY/00_WHAT_ACTUALLY_TESTS_THE_THEORY.md,markdown-document,methodology-root,active-methodology-with-tier-discipline,L3 Vaisya,L1 Candala; L2 Sudra; L4 Ksatriya; L5 Brahmana; L6 Sadhu; L7 Rsi,L1+L2+L3+L5+L6+L7,DOCUMENT_COVERED,2026-06-05,"Methodology root; tests, claim matrix, science status, derivation, papers, and execution guardrails.",03_AGENTZ_DEPLOYMENT_03_METHODOLOGY_2026_06_04.md
01_EMERGENTISM/03_METHODOLOGY/00_WHY_THESE_AXIOMS.md,markdown-document,methodology-root,active-methodology-with-tier-discipline,L3 Vaisya,L1 Candala; L2 Sudra; L4 Ksatriya; L5 Brahmana; L6 Sadhu; L7 Rsi,L1+L2+L3+L5+L6+L7,DOCUMENT_COVERED,2026-06-05,"Methodology root; tests, claim matrix, science status, derivation, papers, and execution guardrails.",03_AGENTZ_DEPLOYMENT_03_METHODOLOGY_2026_06_04.md
01_EMERGENTISM/03_METHODOLOGY/01_STIGMERGIC_DEPLOYMENT_AND_PHASE_TRANSITION.md,markdown-document,methodology-root,active-methodology-with-tier-discipline,L3 Vaisya,L1 Candala; L2 Sudra; L4 Ksatriya; L5 Brahmana; L6 Sadhu; L7 Rsi,L1+L2+L3+L5+L6+L7,DOCUMENT_COVERED,2026-06-05,"Methodology root; tests, claim matrix, science status, derivation, papers, and execution guardrails.",03_AGENTZ_DEPLOYMENT_03_METHODOLOGY_2026_06_04.md
01_EMERGENTISM/03_METHODOLOGY/01_THE_ANUMANA_AUDIT_PROTOCOL.md,markdown-document,methodology-root,active-methodology-with-tier-discipline,L3 Vaisya,L1 Candala; L2 Sudra; L4 Ksatriya; L5 Brahmana; L6 Sadhu; L7 Rsi,L1+L2+L3+L5+L6+L7,DOCUMENT_COVERED,2026-06-05,"Methodology root; tests, claim matrix, science status, derivation, papers, and execution guardrails.",03_AGENTZ_DEPLOYMENT_03_METHODOLOGY_2026_06_04.md
