path,kind,zone,mutability,lead_agentz,support_agentz,agentz_passes,status,last_checked,route,receipt
01_EMERGENTISM/11_UPLINK,folder,uplink,compressed-routing,L4 Ksatriya,L1 Candala; L2 Sudra; L3 Vaisya; L5 Brahmana; L6 Sadhu; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,COMPRESSED_ROUTE_COVERED,2026-06-04,Compressed routing and packet memory for agent orientation; owner-lane source files outrank summaries.,03_AGENTZ_DEPLOYMENT_11_UPLINK_2026_06_04.md
01_EMERGENTISM/11_UPLINK/00_CORE,folder,uplink,compressed-routing,L4 Ksatriya,L1 Candala; L2 Sudra; L3 Vaisya; L5 Brahmana; L6 Sadhu; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,COMPRESSED_ROUTE_COVERED,2026-06-04,Compressed routing and packet memory for agent orientation; owner-lane source files outrank summaries.,03_AGENTZ_DEPLOYMENT_11_UPLINK_2026_06_04.md
01_EMERGENTISM/11_UPLINK/00_INDEX,folder,uplink,compressed-routing,L4 Ksatriya,L1 Candala; L2 Sudra; L3 Vaisya; L5 Brahmana; L6 Sadhu; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,COMPRESSED_ROUTE_COVERED,2026-06-04,Compressed routing and packet memory for agent orientation; owner-lane source files outrank summaries.,03_AGENTZ_DEPLOYMENT_11_UPLINK_2026_06_04.md
01_EMERGENTISM/11_UPLINK/10_RECONCILIATION,folder,uplink,compressed-routing,L4 Ksatriya,L1 Candala; L2 Sudra; L3 Vaisya; L5 Brahmana; L6 Sadhu; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,COMPRESSED_ROUTE_COVERED,2026-06-04,Compressed routing and packet memory for agent orientation; owner-lane source files outrank summaries.,03_AGENTZ_DEPLOYMENT_11_UPLINK_2026_06_04.md
01_EMERGENTISM/11_UPLINK/20_SCOPE,folder,uplink,compressed-routing,L4 Ksatriya,L1 Candala; L2 Sudra; L3 Vaisya; L5 Brahmana; L6 Sadhu; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,COMPRESSED_ROUTE_COVERED,2026-06-04,Compressed routing and packet memory for agent orientation; owner-lane source files outrank summaries.,03_AGENTZ_DEPLOYMENT_11_UPLINK_2026_06_04.md
01_EMERGENTISM/11_UPLINK/25_EXPERIMENTS,folder,uplink,compressed-routing,L4 Ksatriya,L1 Candala; L2 Sudra; L3 Vaisya; L5 Brahmana; L6 Sadhu; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,COMPRESSED_ROUTE_COVERED,2026-06-04,Compressed routing and packet memory for agent orientation; owner-lane source files outrank summaries.,03_AGENTZ_DEPLOYMENT_11_UPLINK_2026_06_04.md
01_EMERGENTISM/11_UPLINK/30_PROGRAMS,folder,uplink,compressed-routing,L4 Ksatriya,L1 Candala; L2 Sudra; L3 Vaisya; L5 Brahmana; L6 Sadhu; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,COMPRESSED_ROUTE_COVERED,2026-06-04,Compressed routing and packet memory for agent orientation; owner-lane source files outrank summaries.,03_AGENTZ_DEPLOYMENT_11_UPLINK_2026_06_04.md
01_EMERGENTISM/11_UPLINK/40_MEMETIC_DEFENSE_DOCTRINE,folder,uplink,compressed-routing,L4 Ksatriya,L1 Candala; L2 Sudra; L3 Vaisya; L5 Brahmana; L6 Sadhu; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,COMPRESSED_ROUTE_COVERED,2026-06-04,Compressed routing and packet memory for agent orientation; owner-lane source files outrank summaries.,03_AGENTZ_DEPLOYMENT_11_UPLINK_2026_06_04.md
01_EMERGENTISM/11_UPLINK/50_AUDITS_AND_EXECUTIONS,folder,uplink,compressed-routing,L4 Ksatriya,L1 Candala; L2 Sudra; L3 Vaisya; L5 Brahmana; L6 Sadhu; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,COMPRESSED_ROUTE_COVERED,2026-06-04,Compressed routing and packet memory for agent orientation; owner-lane source files outrank summaries.,03_AGENTZ_DEPLOYMENT_11_UPLINK_2026_06_04.md
01_EMERGENTISM/11_UPLINK/60_SESSION_PACKETS,folder,uplink,compressed-routing,L4 Ksatriya,L1 Candala; L2 Sudra; L3 Vaisya; L5 Brahmana; L6 Sadhu; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,COMPRESSED_ROUTE_COVERED,2026-06-04,Compressed routing and packet memory for agent orientation; owner-lane source files outrank summaries.,03_AGENTZ_DEPLOYMENT_11_UPLINK_2026_06_04.md
01_EMERGENTISM/11_UPLINK/60_SESSION_PACKETS/194_SOURCE_RESEARCH_2026_04_28,folder,uplink,compressed-routing,L4 Ksatriya,L1 Candala; L2 Sudra; L3 Vaisya; L5 Brahmana; L6 Sadhu; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,COMPRESSED_ROUTE_COVERED,2026-06-04,Compressed routing and packet memory for agent orientation; owner-lane source files outrank summaries.,03_AGENTZ_DEPLOYMENT_11_UPLINK_2026_06_04.md
01_EMERGENTISM/11_UPLINK/60_SESSION_PACKETS/197_PHOENICIAN_FRANCHISE_MODEL_2026_04_28,folder,uplink,compressed-routing,L4 Ksatriya,L1 Candala; L2 Sudra; L3 Vaisya; L5 Brahmana; L6 Sadhu; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,COMPRESSED_ROUTE_COVERED,2026-06-04,Compressed routing and packet memory for agent orientation; owner-lane source files outrank summaries.,03_AGENTZ_DEPLOYMENT_11_UPLINK_2026_06_04.md
01_EMERGENTISM/11_UPLINK/60_SESSION_PACKETS/198_ROME_CAPTURE_PROTOCOL_2026_04_28,folder,uplink,compressed-routing,L4 Ksatriya,L1 Candala; L2 Sudra; L3 Vaisya; L5 Brahmana; L6 Sadhu; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,COMPRESSED_ROUTE_COVERED,2026-06-04,Compressed routing and packet memory for agent orientation; owner-lane source files outrank summaries.,03_AGENTZ_DEPLOYMENT_11_UPLINK_2026_06_04.md
01_EMERGENTISM/11_UPLINK/70_EXTRACT_NOW_PACKETS,folder,uplink,compressed-routing,L4 Ksatriya,L1 Candala; L2 Sudra; L3 Vaisya; L5 Brahmana; L6 Sadhu; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,COMPRESSED_ROUTE_COVERED,2026-06-04,Compressed routing and packet memory for agent orientation; owner-lane source files outrank summaries.,03_AGENTZ_DEPLOYMENT_11_UPLINK_2026_06_04.md
01_EMERGENTISM_ORG/11_UPLINK/90_ARCHIVE,folder,uplink,archive-only-provenance,L4 Ksatriya,L1 Candala; L2 Sudra; L3 Vaisya; L5 Brahmana; L6 Sadhu; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,ARCHIVE_ONLY_COVERED,2026-06-04,Archived Uplink packet memory; not current routing authority.,03_AGENTZ_DEPLOYMENT_11_UPLINK_2026_06_04.md
01_EMERGENTISM/11_UPLINK/95_COMPRESSED,folder,uplink,compressed-routing,L4 Ksatriya,L1 Candala; L2 Sudra; L3 Vaisya; L5 Brahmana; L6 Sadhu; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,COMPRESSED_ROUTE_COVERED,2026-06-04,Compressed routing and packet memory for agent orientation; owner-lane source files outrank summaries.,03_AGENTZ_DEPLOYMENT_11_UPLINK_2026_06_04.md
01_EMERGENTISM/11_UPLINK/00_CORE/00_INDEX.md,markdown-document,uplink,compressed-routing,L4 Ksatriya,L1 Candala; L2 Sudra; L3 Vaisya; L5 Brahmana; L6 Sadhu; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,COMPRESSED_ROUTE_COVERED,2026-06-04,Compressed routing and packet memory for agent orientation; owner-lane source files outrank summaries.,03_AGENTZ_DEPLOYMENT_11_UPLINK_2026_06_04.md
01_EMERGENTISM/11_UPLINK/00_CORE/00_ROSETTA_ROW_ROUTER.md,markdown-document,uplink,compressed-routing,L4 Ksatriya,L1 Candala; L2 Sudra; L3 Vaisya; L5 Brahmana; L6 Sadhu; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,COMPRESSED_ROUTE_COVERED,2026-06-04,Compressed routing and packet memory for agent orientation; owner-lane source files outrank summaries.,03_AGENTZ_DEPLOYMENT_11_UPLINK_2026_06_04.md
01_EMERGENTISM/11_UPLINK/00_CORE/01_CROSS_DIRECTORY_TOPIC_INDEX.json,structured-data-or-config,uplink,compressed-routing,L4 Ksatriya,L1 Candala; L2 Sudra; L3 Vaisya; L5 Brahmana; L6 Sadhu; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,COMPRESSED_ROUTE_COVERED,2026-06-04,Compressed routing and packet memory for agent orientation; owner-lane source files outrank summaries.,03_AGENTZ_DEPLOYMENT_11_UPLINK_2026_06_04.md
01_EMERGENTISM/11_UPLINK/00_CORE/01_CROSS_DIRECTORY_TOPIC_INDEX.md,markdown-document,uplink,compressed-routing,L4 Ksatriya,L1 Candala; L2 Sudra; L3 Vaisya; L5 Brahmana; L6 Sadhu; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,COMPRESSED_ROUTE_COVERED,2026-06-04,Compressed routing and packet memory for agent orientation; owner-lane source files outrank summaries.,03_AGENTZ_DEPLOYMENT_11_UPLINK_2026_06_04.md
01_EMERGENTISM/11_UPLINK/00_CORE/01_SEED.md,markdown-document,uplink,compressed-routing,L4 Ksatriya,L1 Candala; L2 Sudra; L3 Vaisya; L5 Brahmana; L6 Sadhu; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,COMPRESSED_ROUTE_COVERED,2026-06-04,Compressed routing and packet memory for agent orientation; owner-lane source files outrank summaries.,03_AGENTZ_DEPLOYMENT_11_UPLINK_2026_06_04.md
01_EMERGENTISM/11_UPLINK/00_CORE/02_FRAMEWORK.md,markdown-document,uplink,compressed-routing,L4 Ksatriya,L1 Candala; L2 Sudra; L3 Vaisya; L5 Brahmana; L6 Sadhu; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,COMPRESSED_ROUTE_COVERED,2026-06-04,Compressed routing and packet memory for agent orientation; owner-lane source files outrank summaries.,03_AGENTZ_DEPLOYMENT_11_UPLINK_2026_06_04.md
01_EMERGENTISM/11_UPLINK/00_CORE/03_HOLOBIONT_SELF_PORTRAIT.md,markdown-document,uplink,compressed-routing,L4 Ksatriya,L1 Candala; L2 Sudra; L3 Vaisya; L5 Brahmana; L6 Sadhu; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,COMPRESSED_ROUTE_COVERED,2026-06-04,Compressed routing and packet memory for agent orientation; owner-lane source files outrank summaries.,03_AGENTZ_DEPLOYMENT_11_UPLINK_2026_06_04.md
