path,folder_class,status,full_read_status,agentz_pass,last_checked,byte_count,line_count,content_sha256,agentz_flags,soul_loop_receipt
01_EMERGENTISM/00_CANONICAL_TREE_OUTLINE.md,root-front-door,READ,READ_ACTIVE_TEXT,L5 topology + L7 front-door clarity,2026-06-04,6987,102,f8aa6fdae7732613a1e2650efceb3d1f3e30b276eba0b98fdbfb9d0b5e80dfab,L1_ROUTE_PATTERN_999_ARCHIVE:3,"sha256:f8aa6fdae7732613;bytes:6987;lines:102;passes:L1,L2,L3,L5,L6,L7"
01_EMERGENTISM/00_EMERGENTISM_AS_A_LENS.md,root-front-door,READ,READ_ACTIVE_TEXT,L5 topology + L7 front-door clarity,2026-06-04,12549,126,3314d4d764b5ae3141d5effad33ecb6ae190405796db357bcacf1c510246afb3,clear,"sha256:3314d4d764b5ae31;bytes:12549;lines:126;passes:L1,L2,L3,L5,L6,L7"
01_EMERGENTISM/00_FOUNDATION_READER_GUIDE.md,root-front-door,READ,READ_ACTIVE_TEXT,L5 topology + L7 front-door clarity,2026-06-04,19412,214,e8cb079146268f64b10ce1ff013ebb990b6493aeaa30ac5818df2b077c7a7522,clear,"sha256:e8cb079146268f64;bytes:19412;lines:214;passes:L1,L2,L3,L5,L6,L7"
01_EMERGENTISM/00_META/00_CLEANUP_AUDIT_CORRECTIONS_2026_05_31.md,meta,PATCHED,READ_ACTIVE_TEXT,L5 topology + L7 front-door clarity,2026-06-04,12590,112,08f3037b89efbd9978bc15ee223edebb3c9bbbaef030b8aca0363ee28a7fb34f,L1_ROUTE_PATTERN_10_PUBLIC_SITE:1,"sha256:08f3037b89efbd99;bytes:12590;lines:112;passes:L1,L2,L3,L5,L6,L7"
01_EMERGENTISM/00_META/00_CONSTITUTIONAL_INVARIANTS_O1_STAGING_2026_05_30.md,meta,READ,READ_ACTIVE_TEXT,L5 topology + L7 front-door clarity,2026-06-04,14681,153,9cbd69a6906f6390ba4b3c50c28eba5dc1ee15371a30f990b582f0653640ef23,clear,"sha256:9cbd69a6906f6390;bytes:14681;lines:153;passes:L1,L2,L3,L5,L6,L7"
01_EMERGENTISM/00_META/00_CORPUS.md,meta,READ,READ_ACTIVE_TEXT,L5 topology + L7 front-door clarity,2026-06-04,11329,165,730373524ef37578fc11db96f37b24193b9bfe11cb07aacadc089d8e1455dfed,clear,"sha256:730373524ef37578;bytes:11329;lines:165;passes:L1,L2,L3,L5,L6,L7"
01_EMERGENTISM/00_META/00_D_LEVEL_STUDIES.md,meta,READ,READ_ACTIVE_TEXT,L5 topology + L7 front-door clarity,2026-06-04,10213,249,02660ba34a0c2e8e3448dd43a80e4405331a3fbea3d5b4054c703a0b65c56397,clear,"sha256:02660ba34a0c2e8e;bytes:10213;lines:249;passes:L1,L2,L3,L5,L6,L7"
01_EMERGENTISM/00_META/00_D_SCAFFOLD_L_LADDER_BRIDGE.md,meta,READ,READ_ACTIVE_TEXT,L5 topology + L7 front-door clarity,2026-06-04,8334,196,5fdd7a2693e23bda3cd8b0c9b6d5778eaaa2efc270ce9de16d42af7760614936,clear,"sha256:5fdd7a2693e23bda;bytes:8334;lines:196;passes:L1,L2,L3,L5,L6,L7"
01_EMERGENTISM/00_META/00_KNOWN_UNKNOWNS_PROGRAM.md,meta,READ,READ_ACTIVE_TEXT,L5 topology + L7 front-door clarity,2026-06-04,7151,220,aa9233ce889100e863f3b5350b9ef1424dec27f9b4d908a7d197469e116685a8,clear,"sha256:aa9233ce889100e8;bytes:7151;lines:220;passes:L1,L2,L3,L5,L6,L7"
01_EMERGENTISM/00_META/00_RECONCILIATION_SCOPE_BOUNDARY_NOTE.md,meta,READ,READ_ACTIVE_TEXT,L5 topology + L7 front-door clarity,2026-06-04,5044,94,5a27bc223106812df6bb2325228019343a51b5387ed25412baac261ea1aed0a5,clear,"sha256:5a27bc223106812d;bytes:5044;lines:94;passes:L1,L2,L3,L5,L6,L7"
