page,page_size_bytes,claim_id,claim_text,tier_stated,tier_audit,source_anchor_present,source_anchor,is_internal_link,is_rosetta_geometry,notes
index.html,15294,index.html#1,D0 · core state · ground glyph register,UNSOURCED,UNSOURCED,YES,internal-link,YES,NO,
index.html,15294,index.html#2,The site starts at D0. The glyphs are not D1 arithmetic; they are the ground syntax from which the numbered spine unfolds.,UNSOURCED,UNSOURCED,YES,internal-link,YES,NO,
index.html,15294,index.html#3,"⊙ / ○ = •
          • × ○ = ⊙
          ⊙ / • = ○",UNSOURCED,UNSOURCED,NO,,YES,YES,no-tier-no-anchor
index.html,15294,index.html#4,Trans-dimensional syntax · D1 limit forms are later shadows · one dominant page per dimension,UNSOURCED,UNSOURCED,NO,,YES,NO,no-tier-no-anchor
index.html,15294,index.html#5,The Ground Before the Number Line,UNSOURCED,UNSOURCED,YES,internal-link,YES,NO,
index.html,15294,index.html#6,"Emergentism begins with three boundary-frames of being. In D1 they cast shadows as zero, infinity, and one, but the shadows do not define the glyphs.",UNSOURCED,UNSOURCED,NO,,YES,NO,no-tier-no-anchor
index.html,15294,index.html#7,Source · absence · infinite zero · before the written numeral,UNSOURCED,UNSOURCED,NO,,YES,NO,no-tier-no-anchor
index.html,15294,index.html#8,Unit mirror · presence · the hinge where relation becomes legible,UNSOURCED,UNSOURCED,NO,,YES,NO,no-tier-no-anchor
index.html,15294,index.html#9,Horizon · totality · the unbounded surround,UNSOURCED,UNSOURCED,NO,,YES,NO,no-tier-no-anchor
index.html,15294,index.html#10,"Boundary discipline: ⊙ / ○ = •, • × ○ = ⊙, and ⊙ / • = ○
          are frame-register equations. They are not equal to 1/∞ = 0, 0 × ∞ = 1,
          or 1/0 = ∞; those are D1 number-line limit shadows.",UNSOURCED,UNSOURCED,NO,,YES,YES,no-tier-no-anchor
index.html,15294,index.html#11,"The numbered routes are the primary public interface. Each page stands alone with one animation, scroll chapters, evidence tiers, and a Mu-limit handoff.",UNSOURCED,UNSOURCED,NO,,YES,NO,no-tier-no-anchor
index.html,15294,index.html#12,Ground glyph register before D1 arithmetic.,UNSOURCED,UNSOURCED,YES,internal-link,YES,NO,
index.html,15294,index.html#13,The logarithmic number line and one as multiplicative mirror.,UNSOURCED,UNSOURCED,NO,,YES,NO,no-tier-no-anchor
index.html,15294,index.html#14,"The line reaches infinity, returns, and opens the plane.",UNSOURCED,UNSOURCED,NO,,YES,NO,no-tier-no-anchor
index.html,15294,index.html#15,The plane closes into spherical balance.,UNSOURCED,UNSOURCED,NO,,YES,NO,no-tier-no-anchor
index.html,15294,index.html#16,"Rapidity, energy, and causal overlap become visible.",UNSOURCED,UNSOURCED,NO,,YES,NO,no-tier-no-anchor
index.html,15294,index.html#17,"Game space, dual stereographic projections, and V/Φ tradeoff.",UNSOURCED,UNSOURCED,NO,,YES,YES,no-tier-no-anchor
index.html,15294,index.html#18,The cycle closes and returns to /0.,UNSOURCED,UNSOURCED,NO,,YES,NO,no-tier-no-anchor
index.html,15294,index.html#19,The sevenfold translation table and evidence discipline.,UNSOURCED,UNSOURCED,NO,,YES,NO,no-tier-no-anchor
index.html,15294,index.html#20,"The recurrence engine of position, correction, and return.",UNSOURCED,UNSOURCED,NO,,YES,NO,no-tier-no-anchor
index.html,15294,index.html#21,The public canon map and prototype index.,UNSOURCED,UNSOURCED,NO,,YES,NO,no-tier-no-anchor
index.html,15294,index.html#22,The older animation prototypes remain available as instruments.,UNSOURCED,UNSOURCED,NO,,YES,NO,no-tier-no-anchor
index.html,15294,index.html#23,Open futures without stealing futures.,UNSOURCED,UNSOURCED,NO,,YES,NO,no-tier-no-anchor
