placeholder_path	tracked_counterpart	logical_size	placeholder_flags	tracked_counterpart_sha256
90_ARCHIVE/tool_noise/2026_06_04_agentz_deployment/03_AGENTZ_DEPLOYMENT_00_META_2026_06_04 2.csv	90_ARCHIVE/tool_noise/2026_06_04_agentz_deployment/03_AGENTZ_DEPLOYMENT_00_META_2026_06_04.csv	26314	-	8f6ce40b1e034a7f4a7768f01fe72627ce5cbd5ebdf57308749d55dca3a1d43d
90_ARCHIVE/tool_noise/2026_06_04_agentz_deployment/03_AGENTZ_DEPLOYMENT_01_TELEOLOGY_2026_06_04 2.csv	90_ARCHIVE/tool_noise/2026_06_04_agentz_deployment/03_AGENTZ_DEPLOYMENT_01_TELEOLOGY_2026_06_04.csv	21578	compressed,dataless	1d2c07e5143383fed4396a145861de4dd39f09425d6b77a40857799b9abfb81d
90_ARCHIVE/tool_noise/2026_06_04_agentz_deployment/03_AGENTZ_DEPLOYMENT_02_EPISTEMOLOGY_2026_06_04 2.csv	90_ARCHIVE/tool_noise/2026_06_04_agentz_deployment/03_AGENTZ_DEPLOYMENT_02_EPISTEMOLOGY_2026_06_04.csv	8853	compressed,dataless	a810e03a094e4ca02a51d6df30fb762561032245d1ed7b0643795620cbb0c49c
90_ARCHIVE/tool_noise/2026_06_04_agentz_deployment/03_AGENTZ_DEPLOYMENT_03_METHODOLOGY_2026_06_04 2.csv	90_ARCHIVE/tool_noise/2026_06_04_agentz_deployment/03_AGENTZ_DEPLOYMENT_03_METHODOLOGY_2026_06_04.csv	31870	compressed,dataless	0366235574f3b9ecddacac98f7b9d7a0150830aa35bde265566961deebad6651
90_ARCHIVE/tool_noise/2026_06_04_agentz_deployment/03_AGENTZ_DEPLOYMENT_05_COSMOLOGY_2026_06_04 2.csv	90_ARCHIVE/tool_noise/2026_06_04_agentz_deployment/03_AGENTZ_DEPLOYMENT_05_COSMOLOGY_2026_06_04.csv	54502	compressed,dataless	294302bf86e3e56fea55349457b1429e36f1af279e57d4a842b62804b651708e
90_ARCHIVE/tool_noise/2026_06_04_agentz_deployment/03_AGENTZ_DEPLOYMENT_08_FRAMEWORK_SUPPORT_2026_06_04 2.csv	90_ARCHIVE/tool_noise/2026_06_04_agentz_deployment/03_AGENTZ_DEPLOYMENT_08_FRAMEWORK_SUPPORT_2026_06_04.csv	176999	compressed,dataless	5a7ac0cfb307d0bb2f064f44e4c4273168944a1ec475e2c00ad2714689bfb069
90_ARCHIVE/tool_noise/2026_06_04_agentz_deployment/03_AGENTZ_DEPLOYMENT_09_TOOLS_2026_06_04 2.csv	90_ARCHIVE/tool_noise/2026_06_04_agentz_deployment/03_AGENTZ_DEPLOYMENT_09_TOOLS_2026_06_04.csv	141482	compressed,dataless	ef0ab2a5607cf1084c73c57faf4757d28c8e149b6919743532de150fa4eb67e2
90_ARCHIVE/tool_noise/2026_06_04_agentz_deployment/03_AGENTZ_DEPLOYMENT_10_SEED_2026_06_04 2.csv	90_ARCHIVE/tool_noise/2026_06_04_agentz_deployment/03_AGENTZ_DEPLOYMENT_10_SEED_2026_06_04.csv	1843	-	3bb59532a12eb2bb6fc16740174bfbf71a793624916bfdb954fcbf44027e5c18
90_ARCHIVE/tool_noise/2026_06_04_agentz_deployment/03_AGENTZ_DEPLOYMENT_11_UPLINK_2026_06_04 2.csv	90_ARCHIVE/tool_noise/2026_06_04_agentz_deployment/03_AGENTZ_DEPLOYMENT_11_UPLINK_2026_06_04.csv	151441	compressed,dataless	6f1650c49bd56b2fcd0a013270491654111b9968a793ee65a5dcd573dfb5adf1
90_ARCHIVE/tool_noise/2026_06_04_agentz_deployment/03_AGENTZ_DEPLOYMENT_91_COMPATIBILITY_2026_06_04 2.csv	90_ARCHIVE/tool_noise/2026_06_04_agentz_deployment/03_AGENTZ_DEPLOYMENT_91_COMPATIBILITY_2026_06_04.csv	76338	compressed,dataless	2440ddb2557638e29eda85de13b34d5857e8befe6d0a98272bb99b034f47bc77
90_ARCHIVE/tool_noise/2026_06_04_agentz_deployment/04_RECURSIVE_AGENTZ_DEPLOYMENT_01_EMERGENTISM_ORG_2026_06_04 2.csv	90_ARCHIVE/tool_noise/2026_06_04_agentz_deployment/04_RECURSIVE_AGENTZ_DEPLOYMENT_01_EMERGENTISM_ORG_2026_06_04.csv	688369	compressed,dataless	7c55a5bd54810bf5c4b52f2b36d39d481f45d0480061913f90ace13f98873193
