path,kind,zone,mutability,lead_agentz,support_agentz,agentz_passes,status,last_checked,route,receipt
01_EMERGENTISM/12_PUBLIC_SITE,folder,public-site,source-preserved-frozen,L5 Brahmana,L1 Candala; L2 Sudra; L3 Vaisya; L4 Ksatriya; L6 Sadhu; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,PUBLIC_SITE_COVERED,2026-06-04,Public narrative prototypes plus frozen book-pwa source pending AIA migration envelope completion.,03_AGENTZ_DEPLOYMENT_12_PUBLIC_SITE_2026_06_04.md
01_EMERGENTISM/12_PUBLIC_SITE/0,folder,public-site,source-preserved-frozen,L5 Brahmana,L1 Candala; L2 Sudra; L3 Vaisya; L4 Ksatriya; L6 Sadhu; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,PUBLIC_SITE_COVERED,2026-06-04,Public narrative prototypes plus frozen book-pwa source pending AIA migration envelope completion.,03_AGENTZ_DEPLOYMENT_12_PUBLIC_SITE_2026_06_04.md
01_EMERGENTISM/12_PUBLIC_SITE/1,folder,public-site,source-preserved-frozen,L5 Brahmana,L1 Candala; L2 Sudra; L3 Vaisya; L4 Ksatriya; L6 Sadhu; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,PUBLIC_SITE_COVERED,2026-06-04,Public narrative prototypes plus frozen book-pwa source pending AIA migration envelope completion.,03_AGENTZ_DEPLOYMENT_12_PUBLIC_SITE_2026_06_04.md
01_EMERGENTISM/12_PUBLIC_SITE/2,folder,public-site,source-preserved-frozen,L5 Brahmana,L1 Candala; L2 Sudra; L3 Vaisya; L4 Ksatriya; L6 Sadhu; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,PUBLIC_SITE_COVERED,2026-06-04,Public narrative prototypes plus frozen book-pwa source pending AIA migration envelope completion.,03_AGENTZ_DEPLOYMENT_12_PUBLIC_SITE_2026_06_04.md
01_EMERGENTISM/12_PUBLIC_SITE/3,folder,public-site,source-preserved-frozen,L5 Brahmana,L1 Candala; L2 Sudra; L3 Vaisya; L4 Ksatriya; L6 Sadhu; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,PUBLIC_SITE_COVERED,2026-06-04,Public narrative prototypes plus frozen book-pwa source pending AIA migration envelope completion.,03_AGENTZ_DEPLOYMENT_12_PUBLIC_SITE_2026_06_04.md
01_EMERGENTISM/12_PUBLIC_SITE/4,folder,public-site,source-preserved-frozen,L5 Brahmana,L1 Candala; L2 Sudra; L3 Vaisya; L4 Ksatriya; L6 Sadhu; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,PUBLIC_SITE_COVERED,2026-06-04,Public narrative prototypes plus frozen book-pwa source pending AIA migration envelope completion.,03_AGENTZ_DEPLOYMENT_12_PUBLIC_SITE_2026_06_04.md
01_EMERGENTISM/12_PUBLIC_SITE/5,folder,public-site,source-preserved-frozen,L5 Brahmana,L1 Candala; L2 Sudra; L3 Vaisya; L4 Ksatriya; L6 Sadhu; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,PUBLIC_SITE_COVERED,2026-06-04,Public narrative prototypes plus frozen book-pwa source pending AIA migration envelope completion.,03_AGENTZ_DEPLOYMENT_12_PUBLIC_SITE_2026_06_04.md
01_EMERGENTISM/12_PUBLIC_SITE/6,folder,public-site,source-preserved-frozen,L5 Brahmana,L1 Candala; L2 Sudra; L3 Vaisya; L4 Ksatriya; L6 Sadhu; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,PUBLIC_SITE_COVERED,2026-06-04,Public narrative prototypes plus frozen book-pwa source pending AIA migration envelope completion.,03_AGENTZ_DEPLOYMENT_12_PUBLIC_SITE_2026_06_04.md
01_EMERGENTISM/12_PUBLIC_SITE/about,folder,public-site,source-preserved-frozen,L5 Brahmana,L1 Candala; L2 Sudra; L3 Vaisya; L4 Ksatriya; L6 Sadhu; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,PUBLIC_SITE_COVERED,2026-06-04,Public narrative prototypes plus frozen book-pwa source pending AIA migration envelope completion.,03_AGENTZ_DEPLOYMENT_12_PUBLIC_SITE_2026_06_04.md
01_EMERGENTISM/12_PUBLIC_SITE/assets,folder,public-site,source-preserved-frozen,L5 Brahmana,L1 Candala; L2 Sudra; L3 Vaisya; L4 Ksatriya; L6 Sadhu; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,PUBLIC_SITE_COVERED,2026-06-04,Public narrative prototypes plus frozen book-pwa source pending AIA migration envelope completion.,03_AGENTZ_DEPLOYMENT_12_PUBLIC_SITE_2026_06_04.md
01_EMERGENTISM/12_PUBLIC_SITE/assets/css,folder,public-site,source-preserved-frozen,L5 Brahmana,L1 Candala; L2 Sudra; L3 Vaisya; L4 Ksatriya; L6 Sadhu; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,PUBLIC_SITE_COVERED,2026-06-04,Public narrative prototypes plus frozen book-pwa source pending AIA migration envelope completion.,03_AGENTZ_DEPLOYMENT_12_PUBLIC_SITE_2026_06_04.md
01_EMERGENTISM/12_PUBLIC_SITE/assets/js,folder,public-site,source-preserved-frozen,L5 Brahmana,L1 Candala; L2 Sudra; L3 Vaisya; L4 Ksatriya; L6 Sadhu; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,PUBLIC_SITE_COVERED,2026-06-04,Public narrative prototypes plus frozen book-pwa source pending AIA migration envelope completion.,03_AGENTZ_DEPLOYMENT_12_PUBLIC_SITE_2026_06_04.md
01_EMERGENTISM/12_PUBLIC_SITE/atlas,folder,public-site,source-preserved-frozen,L5 Brahmana,L1 Candala; L2 Sudra; L3 Vaisya; L4 Ksatriya; L6 Sadhu; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,PUBLIC_SITE_COVERED,2026-06-04,Public narrative prototypes plus frozen book-pwa source pending AIA migration envelope completion.,03_AGENTZ_DEPLOYMENT_12_PUBLIC_SITE_2026_06_04.md
01_EMERGENTISM/12_PUBLIC_SITE/axiology,folder,public-site,source-preserved-frozen,L5 Brahmana,L1 Candala; L2 Sudra; L3 Vaisya; L4 Ksatriya; L6 Sadhu; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,PUBLIC_SITE_COVERED,2026-06-04,Public narrative prototypes plus frozen book-pwa source pending AIA migration envelope completion.,03_AGENTZ_DEPLOYMENT_12_PUBLIC_SITE_2026_06_04.md
01_EMERGENTISM_ORG/12_PUBLIC_SITE/book-pwa,folder,public-site,source-preserved-frozen,L5 Brahmana,L1 Candala; L2 Sudra; L3 Vaisya; L4 Ksatriya; L6 Sadhu; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,SOURCE_PRESERVED_COVERED,2026-06-04,Frozen app source for migration/tombstone/public-claim repair only; not a live product feature lane.,03_AGENTZ_DEPLOYMENT_12_PUBLIC_SITE_2026_06_04.md
01_EMERGENTISM_ORG/12_PUBLIC_SITE/book-pwa/prisma,folder,public-site,source-preserved-frozen,L5 Brahmana,L1 Candala; L2 Sudra; L3 Vaisya; L4 Ksatriya; L6 Sadhu; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,SOURCE_PRESERVED_COVERED,2026-06-04,Frozen app source for migration/tombstone/public-claim repair only; not a live product feature lane.,03_AGENTZ_DEPLOYMENT_12_PUBLIC_SITE_2026_06_04.md
01_EMERGENTISM_ORG/12_PUBLIC_SITE/book-pwa/prisma/migrations,folder,public-site,source-preserved-frozen,L5 Brahmana,L1 Candala; L2 Sudra; L3 Vaisya; L4 Ksatriya; L6 Sadhu; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,SOURCE_PRESERVED_COVERED,2026-06-04,Frozen app source for migration/tombstone/public-claim repair only; not a live product feature lane.,03_AGENTZ_DEPLOYMENT_12_PUBLIC_SITE_2026_06_04.md
