path,kind,zone,mutability,lead_agentz,support_agentz,agentz_passes,status,last_checked,route,receipt
01_EMERGENTISM/05_COSMOLOGY,folder,cosmology-root,active-cosmology-with-model-boundary,L5 Brahmana,L1 Candala; L2 Sudra; L3 Vaisya; L4 Ksatriya; L6 Sadhu; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,ROUTE_SURFACE_COVERED,2026-06-04,"Cosmology root; formula block, S2 geometry, Burrisphere, Weltanschauung, and model boundaries.",03_AGENTZ_DEPLOYMENT_05_COSMOLOGY_2026_06_04.md
01_EMERGENTISM/05_COSMOLOGY/00_WHOLE,folder,whole-system-cosmology,whole-system-model-with-owner-route-discipline,L5 Brahmana,L1 Candala; L2 Sudra; L3 Vaisya; L4 Ksatriya; L6 Sadhu; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,ROUTE_SURFACE_COVERED,2026-06-04,Whole-system cosmology; historical Skyzai links are compatibility debt unless owner-confirmed.,03_AGENTZ_DEPLOYMENT_05_COSMOLOGY_2026_06_04.md
01_EMERGENTISM/05_COSMOLOGY/01_THE_TRANSCENDENTAL_TRINITY,folder,transcendental-trinity,narrative-model-with-tier-discipline,L5 Brahmana,L1 Candala; L2 Sudra; L3 Vaisya; L4 Ksatriya; L6 Sadhu; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,ROUTE_SURFACE_COVERED,2026-06-04,Narrative trinity model; route formal notation and evidence tiers through formula block and honest position.,03_AGENTZ_DEPLOYMENT_05_COSMOLOGY_2026_06_04.md
01_EMERGENTISM/05_COSMOLOGY/02_EMERGENTISM_CORE,folder,emergentism-core,positive-model-with-anti-reification-discipline,L5 Brahmana,L1 Candala; L2 Sudra; L3 Vaisya; L4 Ksatriya; L6 Sadhu; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,ROUTE_SURFACE_COVERED,2026-06-04,Positive Emergentism model; do not reify the model as Ground or settled science.,03_AGENTZ_DEPLOYMENT_05_COSMOLOGY_2026_06_04.md
01_EMERGENTISM/05_COSMOLOGY/03_FORMAL_SYSTEM,folder,formal-system,formal-system-with-proof-tier-discipline,L5 Brahmana,L1 Candala; L2 Sudra; L3 Vaisya; L4 Ksatriya; L6 Sadhu; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,ROUTE_SURFACE_COVERED,2026-06-04,"Formal-system surface; keep axiom, theorem, falsifier, and proof-tier discipline explicit.",03_AGENTZ_DEPLOYMENT_05_COSMOLOGY_2026_06_04.md
01_EMERGENTISM/05_COSMOLOGY/00_CANONICAL_FORMULA_BLOCK.md,markdown-document,cosmology-root,active-cosmology-with-model-boundary,L5 Brahmana,L1 Candala; L2 Sudra; L3 Vaisya; L4 Ksatriya; L6 Sadhu; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,DOCUMENT_COVERED,2026-06-04,"Cosmology root; formula block, S2 geometry, Burrisphere, Weltanschauung, and model boundaries.",03_AGENTZ_DEPLOYMENT_05_COSMOLOGY_2026_06_04.md
01_EMERGENTISM/05_COSMOLOGY/00_THE_ARGUMENT_EMERGENCE_AS_LENS_ON_DASEIN.md,markdown-document,cosmology-root,active-cosmology-with-model-boundary,L5 Brahmana,L1 Candala; L2 Sudra; L3 Vaisya; L4 Ksatriya; L6 Sadhu; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,DOCUMENT_COVERED,2026-06-06,"Working L5 argument surface for emergence, Dasein, Titan/frame emblem, logarithmic center, mu-limit crossing, and Riemann-sphere compactification.",03_AGENTZ_DEPLOYMENT_05_COSMOLOGY_2026_06_04.md
01_EMERGENTISM/05_COSMOLOGY/00_D5_REGISTER_GAME_THEORY_AND_BEHAVIORAL_ECONOMICS.md,markdown-document,cosmology-root,active-cosmology-with-model-boundary,L5 Brahmana,L1 Candala; L2 Sudra; L3 Vaisya; L4 Ksatriya; L6 Sadhu; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,DOCUMENT_COVERED,2026-06-04,"Cosmology root; formula block, S2 geometry, Burrisphere, Weltanschauung, and model boundaries.",03_AGENTZ_DEPLOYMENT_05_COSMOLOGY_2026_06_04.md
01_EMERGENTISM/05_COSMOLOGY/00_D5_THE_SEVEN_GENERATIVE_ACTIONS.md,markdown-document,cosmology-root,active-cosmology-with-model-boundary,L5 Brahmana,L1 Candala; L2 Sudra; L3 Vaisya; L4 Ksatriya; L6 Sadhu; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,DOCUMENT_COVERED,2026-06-04,"Cosmology root; formula block, S2 geometry, Burrisphere, Weltanschauung, and model boundaries.",03_AGENTZ_DEPLOYMENT_05_COSMOLOGY_2026_06_04.md
01_EMERGENTISM/05_COSMOLOGY/00_EMERGENTISM.md,markdown-document,cosmology-root,active-cosmology-with-model-boundary,L5 Brahmana,L1 Candala; L2 Sudra; L3 Vaisya; L4 Ksatriya; L6 Sadhu; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,DOCUMENT_COVERED,2026-06-04,"Cosmology root; formula block, S2 geometry, Burrisphere, Weltanschauung, and model boundaries.",03_AGENTZ_DEPLOYMENT_05_COSMOLOGY_2026_06_04.md
01_EMERGENTISM/05_COSMOLOGY/00_EMERGENTISM_AS_WELTANSCHAUUNG.md,markdown-document,cosmology-root,active-cosmology-with-model-boundary,L5 Brahmana,L1 Candala; L2 Sudra; L3 Vaisya; L4 Ksatriya; L6 Sadhu; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,DOCUMENT_COVERED,2026-06-04,"Cosmology root; formula block, S2 geometry, Burrisphere, Weltanschauung, and model boundaries.",03_AGENTZ_DEPLOYMENT_05_COSMOLOGY_2026_06_04.md
