path,kind,zone,mutability,lead_agentz,support_agentz,route,notes
01_EMERGENTISM,folder,doctrine-root-entry,folder-route-inherits-or-local-AGENTS,L7 Ṛṣi,L1 Caṇḍāla; L5 Brāhmaṇa; L6 Sādhu,root doctrine entry; source truth before summaries; no runtime/entity claims,
01_EMERGENTISM/00_CANONICAL_TREE_OUTLINE.md,markdown-document,doctrine-source,source-document-edit-with-claim-and-evidence-tier,L7 Ṛṣi,L1 Caṇḍāla; L5 Brāhmaṇa; L6 Sādhu,doctrine source; read nearest AGENTS/CLAUDE before edits,
01_EMERGENTISM/00_EMERGENTISM_AS_A_LENS.md,markdown-document,doctrine-source,source-document-edit-with-claim-and-evidence-tier,L7 Ṛṣi,L1 Caṇḍāla; L5 Brāhmaṇa; L6 Sādhu,doctrine source; read nearest AGENTS/CLAUDE before edits,
01_EMERGENTISM/00_FOUNDATION_READER_GUIDE.md,markdown-document,doctrine-source,source-document-edit-with-claim-and-evidence-tier,L7 Ṛṣi,L1 Caṇḍāla; L5 Brāhmaṇa; L6 Sādhu,doctrine source; read nearest AGENTS/CLAUDE before edits,
01_EMERGENTISM/00_META,folder,meta-canon-control,folder-route-inherits-or-local-AGENTS,L5 Brāhmaṇa,L3 Vaiśya; L6 Sādhu; L7 Ṛṣi,meta-canon routing/control; does not create doctrine,
01_EMERGENTISM/00_META/00_CLEANUP_AUDIT_CORRECTIONS_2026_05_31.md,markdown-document,meta-canon-control,source-document-edit-with-claim-and-evidence-tier,L5 Brāhmaṇa,L3 Vaiśya; L6 Sādhu; L7 Ṛṣi,meta-canon routing/control; does not create doctrine,
01_EMERGENTISM/00_META/00_CONSTITUTIONAL_INVARIANTS_O1_STAGING_2026_05_30.md,markdown-document,meta-canon-control,source-document-edit-with-claim-and-evidence-tier,L5 Brāhmaṇa,L3 Vaiśya; L6 Sādhu; L7 Ṛṣi,meta-canon routing/control; does not create doctrine,
01_EMERGENTISM/00_META/00_CORPUS.md,markdown-document,meta-canon-control,source-document-edit-with-claim-and-evidence-tier,L5 Brāhmaṇa,L3 Vaiśya; L6 Sādhu; L7 Ṛṣi,meta-canon routing/control; does not create doctrine,
01_EMERGENTISM/00_META/00_D_LEVEL_STUDIES.md,markdown-document,meta-canon-control,source-document-edit-with-claim-and-evidence-tier,L5 Brāhmaṇa,L3 Vaiśya; L6 Sādhu; L7 Ṛṣi,meta-canon routing/control; does not create doctrine,
01_EMERGENTISM/00_META/00_D_SCAFFOLD_L_LADDER_BRIDGE.md,markdown-document,meta-canon-control,source-document-edit-with-claim-and-evidence-tier,L5 Brāhmaṇa,L3 Vaiśya; L6 Sādhu; L7 Ṛṣi,meta-canon routing/control; does not create doctrine,
01_EMERGENTISM/00_META/00_KNOWN_UNKNOWNS_PROGRAM.md,markdown-document,meta-canon-control,source-document-edit-with-claim-and-evidence-tier,L5 Brāhmaṇa,L3 Vaiśya; L6 Sādhu; L7 Ṛṣi,meta-canon routing/control; does not create doctrine,
01_EMERGENTISM/00_META/00_RECONCILIATION_SCOPE_BOUNDARY_NOTE.md,markdown-document,meta-canon-control,source-document-edit-with-claim-and-evidence-tier,L5 Brāhmaṇa,L3 Vaiśya; L6 Sādhu; L7 Ṛṣi,meta-canon routing/control; does not create doctrine,
01_EMERGENTISM/00_META/00_SETTLED_CANON_REGISTRY.md,markdown-document,meta-canon-control,source-document-edit-with-claim-and-evidence-tier,L5 Brāhmaṇa,L3 Vaiśya; L6 Sādhu; L7 Ṛṣi,meta-canon routing/control; does not create doctrine,
01_EMERGENTISM/00_META/00_SUBFOLDER_ORGANIZATION_STANDARD.md,markdown-document,meta-canon-control,source-document-edit-with-claim-and-evidence-tier,L5 Brāhmaṇa,L3 Vaiśya; L6 Sādhu; L7 Ṛṣi,meta-canon routing/control; does not create doctrine,
01_EMERGENTISM/00_META/00_THE_REMAINING_QUESTIONS.md,markdown-document,meta-canon-control,source-document-edit-with-claim-and-evidence-tier,L5 Brāhmaṇa,L3 Vaiśya; L6 Sādhu; L7 Ṛṣi,meta-canon routing/control; does not create doctrine,
01_EMERGENTISM/00_META/00_TIDY_CONTROL_BOARD_2026_06_04.md,markdown-document,meta-canon-control,source-document-edit-with-claim-and-evidence-tier,L5 Brāhmaṇa,L3 Vaiśya; L6 Sādhu; L7 Ṛṣi,meta-canon routing/control; does not create doctrine,
01_EMERGENTISM/00_META/00_TRANSLATION_MACHINE_PROTOCOL.md,markdown-document,meta-canon-control,source-document-edit-with-claim-and-evidence-tier,L5 Brāhmaṇa,L3 Vaiśya; L6 Sādhu; L7 Ṛṣi,meta-canon routing/control; does not create doctrine,
01_EMERGENTISM/00_META/00_WHAT_IS_ACTUALLY_NOVEL_HERE.md,markdown-document,meta-canon-control,source-document-edit-with-claim-and-evidence-tier,L5 Brāhmaṇa,L3 Vaiśya; L6 Sādhu; L7 Ṛṣi,meta-canon routing/control; does not create doctrine,
01_EMERGENTISM/00_META/01_CORPUS_AUDIT_MANIFEST_2026_06_04.csv,csv-ledger-or-manifest,meta-canon-control,editable-route-control-with-claim,L5 Brāhmaṇa,L3 Vaiśya; L6 Sādhu; L7 Ṛṣi,meta-canon routing/control; does not create doctrine,
01_EMERGENTISM/00_META/01_CORPUS_AUDIT_MANIFEST_2026_06_04.jsonl,json-data-or-ledger,meta-canon-control,editable-route-control-with-claim,L5 Brāhmaṇa,L3 Vaiśya; L6 Sādhu; L7 Ṛṣi,meta-canon routing/control; does not create doctrine,
01_EMERGENTISM/00_META/01_CORPUS_AUDIT_SUMMARY_2026_06_04.md,markdown-document,meta-canon-control,source-document-edit-with-claim-and-evidence-tier,L5 Brāhmaṇa,L3 Vaiśya; L6 Sādhu; L7 Ṛṣi,meta-canon routing/control; does not create doctrine,
01_EMERGENTISM/00_META/02_FULL_READ_SOUL_LOOP_FINAL_CLOSE_2026_06_04.md,markdown-document,meta-canon-control,source-document-edit-with-claim-and-evidence-tier,L6 Sādhu,L3 Vaiśya; L5 Brāhmaṇa; L7 Ṛṣi,meta-canon routing/control; does not create doctrine,bounded final-close worktree snapshot; current branch gates remain separate
01_EMERGENTISM/00_META/02_FULL_READ_SOUL_LOOP_FRONT_DOOR_SUMMARY_2026_06_04.md,markdown-document,meta-canon-control,source-document-edit-with-claim-and-evidence-tier,L5 Brāhmaṇa,L3 Vaiśya; L6 Sādhu; L7 Ṛṣi,meta-canon routing/control; does not create doctrine,
01_EMERGENTISM/00_META/02_FULL_READ_SOUL_LOOP_LEDGER_2026_06_04.csv,csv-ledger-or-manifest,meta-canon-control,generated-or-ledger-regenerate-or-L3-audit-only,L5 Brāhmaṇa,L3 Vaiśya; L6 Sādhu; L7 Ṛṣi,meta-canon routing/control; does not create doctrine,
01_EMERGENTISM/00_META/02_FULL_READ_SOUL_LOOP_SUMMARY_2026_06_04.md,markdown-document,meta-canon-control,source-document-edit-with-claim-and-evidence-tier,L5 Brāhmaṇa,L3 Vaiśya; L6 Sādhu; L7 Ṛṣi,meta-canon routing/control; does not create doctrine,
01_EMERGENTISM/00_META/03_AGENTZ_DEPLOYMENT_00_META_2026_06_04.csv,csv-ledger-or-manifest,meta-canon-control,generated-or-ledger-regenerate-or-L3-audit-only,L5 Brāhmaṇa,L3 Vaiśya; L6 Sādhu; L7 Ṛṣi,meta-canon routing/control; does not create doctrine,00_META Agentz deployment manifest
01_EMERGENTISM/00_META/03_AGENTZ_DEPLOYMENT_00_META_2026_06_04.md,markdown-document,meta-canon-control,source-document-edit-with-claim-and-evidence-tier,L5 Brāhmaṇa,L3 Vaiśya; L6 Sādhu; L7 Ṛṣi,meta-canon routing/control; does not create doctrine,00_META Agentz deployment receipt
01_EMERGENTISM/00_META/03_AGENTZ_DEPLOYMENT_01_TELEOLOGY_2026_06_04.csv,csv-ledger-or-manifest,meta-canon-control,generated-or-ledger-regenerate-or-L3-audit-only,L5 Brāhmaṇa,L3 Vaiśya; L6 Sādhu; L7 Ṛṣi,meta-canon routing/control; does not create doctrine,01_TELEOLOGY Agentz deployment manifest
01_EMERGENTISM/00_META/03_AGENTZ_DEPLOYMENT_01_TELEOLOGY_2026_06_04.md,markdown-document,meta-canon-control,source-document-edit-with-claim-and-evidence-tier,L5 Brāhmaṇa,L3 Vaiśya; L6 Sādhu; L7 Ṛṣi,meta-canon routing/control; does not create doctrine,01_TELEOLOGY Agentz deployment receipt
01_EMERGENTISM/00_META/03_AGENTZ_DEPLOYMENT_02_EPISTEMOLOGY_2026_06_04.csv,csv-ledger-or-manifest,meta-canon-control,generated-or-ledger-regenerate-or-L3-audit-only,L5 Brāhmaṇa,L3 Vaiśya; L6 Sādhu; L7 Ṛṣi,meta-canon routing/control; does not create doctrine,
01_EMERGENTISM/00_META/03_AGENTZ_DEPLOYMENT_02_EPISTEMOLOGY_2026_06_04.md,markdown-document,meta-canon-control,source-document-edit-with-claim-and-evidence-tier,L5 Brāhmaṇa,L3 Vaiśya; L6 Sādhu; L7 Ṛṣi,meta-canon routing/control; does not create doctrine,
01_EMERGENTISM/00_META/03_AGENTZ_DEPLOYMENT_03_METHODOLOGY_2026_06_04.csv,csv-ledger-or-manifest,meta-canon-control,generated-or-ledger-regenerate-or-L3-audit-only,L5 Brāhmaṇa,L3 Vaiśya; L6 Sādhu; L7 Ṛṣi,meta-canon routing/control; does not create doctrine,03_METHODOLOGY Agentz deployment manifest
01_EMERGENTISM/00_META/03_AGENTZ_DEPLOYMENT_03_METHODOLOGY_2026_06_04.md,markdown-document,meta-canon-control,source-document-edit-with-claim-and-evidence-tier,L5 Brāhmaṇa,L3 Vaiśya; L6 Sādhu; L7 Ṛṣi,meta-canon routing/control; does not create doctrine,03_METHODOLOGY Agentz deployment receipt
01_EMERGENTISM/00_META/03_AGENTZ_DEPLOYMENT_04_AXIOLOGY_2026_06_04.csv,csv-ledger-or-manifest,meta-canon-control,generated-or-ledger-regenerate-or-L3-audit-only,L5 Brāhmaṇa,L3 Vaiśya; L6 Sādhu; L7 Ṛṣi,meta-canon routing/control; does not create doctrine,04_AXIOLOGY Agentz deployment manifest
01_EMERGENTISM/00_META/03_AGENTZ_DEPLOYMENT_04_AXIOLOGY_2026_06_04.md,markdown-document,meta-canon-control,source-document-edit-with-claim-and-evidence-tier,L5 Brāhmaṇa,L3 Vaiśya; L6 Sādhu; L7 Ṛṣi,meta-canon routing/control; does not create doctrine,04_AXIOLOGY Agentz deployment receipt
01_EMERGENTISM/00_META/03_AGENTZ_DEPLOYMENT_05_COSMOLOGY_2026_06_04.csv,csv-ledger-or-manifest,meta-canon-control,generated-or-ledger-regenerate-or-L3-audit-only,L5 Brāhmaṇa,L3 Vaiśya; L6 Sādhu; L7 Ṛṣi,meta-canon routing/control; does not create doctrine,05_COSMOLOGY Agentz deployment manifest
01_EMERGENTISM/00_META/03_AGENTZ_DEPLOYMENT_05_COSMOLOGY_2026_06_04.md,markdown-document,meta-canon-control,source-document-edit-with-claim-and-evidence-tier,L5 Brāhmaṇa,L3 Vaiśya; L6 Sādhu; L7 Ṛṣi,meta-canon routing/control; does not create doctrine,05_COSMOLOGY Agentz deployment receipt
01_EMERGENTISM/00_META/03_AGENTZ_DEPLOYMENT_06_ONTOLOGY_2026_06_04.csv,csv-ledger-or-manifest,meta-canon-control,generated-or-ledger-regenerate-or-L3-audit-only,L5 Brāhmaṇa,L3 Vaiśya; L6 Sādhu; L7 Ṛṣi,meta-canon routing/control; does not create doctrine,06_ONTOLOGY Agentz deployment manifest
01_EMERGENTISM/00_META/03_AGENTZ_DEPLOYMENT_06_ONTOLOGY_2026_06_04.md,markdown-document,meta-canon-control,source-document-edit-with-claim-and-evidence-tier,L5 Brāhmaṇa,L3 Vaiśya; L6 Sādhu; L7 Ṛṣi,meta-canon routing/control; does not create doctrine,06_ONTOLOGY Agentz deployment receipt
01_EMERGENTISM/00_META/03_AGENTZ_DEPLOYMENT_07_THEOLOGY_2026_06_04.csv,csv-ledger-or-manifest,meta-canon-control,generated-or-ledger-regenerate-or-L3-audit-only,L5 Brāhmaṇa,L3 Vaiśya; L6 Sādhu; L7 Ṛṣi,meta-canon routing/control; does not create doctrine,07_THEOLOGY Agentz deployment manifest
01_EMERGENTISM/00_META/03_AGENTZ_DEPLOYMENT_07_THEOLOGY_2026_06_04.md,markdown-document,meta-canon-control,source-document-edit-with-claim-and-evidence-tier,L5 Brāhmaṇa,L3 Vaiśya; L6 Sādhu; L7 Ṛṣi,meta-canon routing/control; does not create doctrine,07_THEOLOGY Agentz deployment receipt
01_EMERGENTISM/00_META/03_AGENTZ_DEPLOYMENT_08_FRAMEWORK_SUPPORT_2026_06_04.csv,csv-ledger-or-manifest,meta-canon-control,generated-or-ledger-regenerate-or-L3-audit-only,L5 Brāhmaṇa,L3 Vaiśya; L6 Sādhu; L7 Ṛṣi,meta-canon routing/control; does not create doctrine,08_FRAMEWORK_SUPPORT Agentz deployment manifest
01_EMERGENTISM/00_META/03_AGENTZ_DEPLOYMENT_08_FRAMEWORK_SUPPORT_2026_06_04.md,markdown-document,meta-canon-control,source-document-edit-with-claim-and-evidence-tier,L5 Brāhmaṇa,L3 Vaiśya; L6 Sādhu; L7 Ṛṣi,meta-canon routing/control; does not create doctrine,08_FRAMEWORK_SUPPORT Agentz deployment receipt
01_EMERGENTISM/00_META/03_AGENTZ_DEPLOYMENT_09_TOOLS_2026_06_04.csv,csv-ledger-or-manifest,meta-canon-control,generated-or-ledger-regenerate-or-L3-audit-only,L5 Brāhmaṇa,L3 Vaiśya; L6 Sādhu; L7 Ṛṣi,meta-canon routing/control; does not create doctrine,09_TOOLS Agentz deployment manifest
01_EMERGENTISM/00_META/03_AGENTZ_DEPLOYMENT_09_TOOLS_2026_06_04.md,markdown-document,meta-canon-control,source-document-edit-with-claim-and-evidence-tier,L5 Brāhmaṇa,L3 Vaiśya; L6 Sādhu; L7 Ṛṣi,meta-canon routing/control; does not create doctrine,09_TOOLS Agentz deployment receipt
01_EMERGENTISM/00_META/03_AGENTZ_DEPLOYMENT_10_SEED_2026_06_04.csv,csv-ledger-or-manifest,meta-canon-control,generated-or-ledger-regenerate-or-L3-audit-only,L5 Brāhmaṇa,L3 Vaiśya; L6 Sādhu; L7 Ṛṣi,meta-canon routing/control; does not create doctrine,10_SEED Agentz deployment manifest
01_EMERGENTISM/00_META/03_AGENTZ_DEPLOYMENT_10_SEED_2026_06_04.md,markdown-document,meta-canon-control,source-document-edit-with-claim-and-evidence-tier,L5 Brāhmaṇa,L3 Vaiśya; L6 Sādhu; L7 Ṛṣi,meta-canon routing/control; does not create doctrine,10_SEED Agentz deployment receipt
01_EMERGENTISM/00_META/03_AGENTZ_DEPLOYMENT_11_UPLINK_2026_06_04.csv,csv-ledger-or-manifest,meta-canon-control,generated-or-ledger-regenerate-or-L3-audit-only,L5 Brāhmaṇa,L3 Vaiśya; L6 Sādhu; L7 Ṛṣi,meta-canon routing/control; does not create doctrine,11_UPLINK Agentz deployment manifest
01_EMERGENTISM/00_META/03_AGENTZ_DEPLOYMENT_11_UPLINK_2026_06_04.md,markdown-document,meta-canon-control,source-document-edit-with-claim-and-evidence-tier,L5 Brāhmaṇa,L3 Vaiśya; L6 Sādhu; L7 Ṛṣi,meta-canon routing/control; does not create doctrine,11_UPLINK Agentz deployment receipt
