path,kind,zone,mutability,lead_agentz,support_agentz,agentz_passes,status,last_checked,route,receipt
01_EMERGENTISM_ORG/90_ARCHIVE,folder,archive,archive-only-provenance,L6 Sadhu,L1 Candala; L2 Sudra; L3 Vaisya; L4 Ksatriya; L5 Brahmana; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,ARCHIVE_ONLY_COVERED,2026-06-04,Historical Emergentism archive; preserved under K3 and non-authoritative unless active owner lanes cite it.,03_AGENTZ_DEPLOYMENT_90_ARCHIVE_2026_06_04.md
01_EMERGENTISM_ORG/90_ARCHIVE/00_K3_SWEEP_2026_05_31,folder,archive,archive-only-provenance,L6 Sadhu,L1 Candala; L2 Sudra; L3 Vaisya; L4 Ksatriya; L5 Brahmana; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,ARCHIVE_ONLY_COVERED,2026-06-04,Historical Emergentism archive; preserved under K3 and non-authoritative unless active owner lanes cite it.,03_AGENTZ_DEPLOYMENT_90_ARCHIVE_2026_06_04.md
01_EMERGENTISM_ORG/90_ARCHIVE/00_K3_SWEEP_2026_05_31/01_TELEOLOGY,folder,archive,archive-only-provenance,L6 Sadhu,L1 Candala; L2 Sudra; L3 Vaisya; L4 Ksatriya; L5 Brahmana; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,ARCHIVE_ONLY_COVERED,2026-06-04,Historical Emergentism archive; preserved under K3 and non-authoritative unless active owner lanes cite it.,03_AGENTZ_DEPLOYMENT_90_ARCHIVE_2026_06_04.md
01_EMERGENTISM_ORG/90_ARCHIVE/00_K3_SWEEP_2026_05_31/06_ONTOLOGY,folder,archive,archive-only-provenance,L6 Sadhu,L1 Candala; L2 Sudra; L3 Vaisya; L4 Ksatriya; L5 Brahmana; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,ARCHIVE_ONLY_COVERED,2026-06-04,Historical Emergentism archive; preserved under K3 and non-authoritative unless active owner lanes cite it.,03_AGENTZ_DEPLOYMENT_90_ARCHIVE_2026_06_04.md
01_EMERGENTISM_ORG/90_ARCHIVE/00_K3_SWEEP_2026_05_31/07_THEOLOGY,folder,archive,archive-only-provenance,L6 Sadhu,L1 Candala; L2 Sudra; L3 Vaisya; L4 Ksatriya; L5 Brahmana; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,ARCHIVE_ONLY_COVERED,2026-06-04,Historical Emergentism archive; preserved under K3 and non-authoritative unless active owner lanes cite it.,03_AGENTZ_DEPLOYMENT_90_ARCHIVE_2026_06_04.md
01_EMERGENTISM_ORG/90_ARCHIVE/00_K3_SWEEP_2026_05_31/08_FRAMEWORK_SUPPORT,folder,archive,archive-only-provenance,L6 Sadhu,L1 Candala; L2 Sudra; L3 Vaisya; L4 Ksatriya; L5 Brahmana; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,ARCHIVE_ONLY_COVERED,2026-06-04,Historical Emergentism archive; preserved under K3 and non-authoritative unless active owner lanes cite it.,03_AGENTZ_DEPLOYMENT_90_ARCHIVE_2026_06_04.md
01_EMERGENTISM_ORG/90_ARCHIVE/00_K3_SWEEP_2026_05_31/08_FRAMEWORK_SUPPORT/05_SYNTHESIS,folder,archive,archive-only-provenance,L6 Sadhu,L1 Candala; L2 Sudra; L3 Vaisya; L4 Ksatriya; L5 Brahmana; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,ARCHIVE_ONLY_COVERED,2026-06-04,Historical Emergentism archive; preserved under K3 and non-authoritative unless active owner lanes cite it.,03_AGENTZ_DEPLOYMENT_90_ARCHIVE_2026_06_04.md
01_EMERGENTISM_ORG/90_ARCHIVE/08_FRAMEWORK_SUPPORT,folder,archive,archive-only-provenance,L6 Sadhu,L1 Candala; L2 Sudra; L3 Vaisya; L4 Ksatriya; L5 Brahmana; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,ARCHIVE_ONLY_COVERED,2026-06-04,Historical Emergentism archive; preserved under K3 and non-authoritative unless active owner lanes cite it.,03_AGENTZ_DEPLOYMENT_90_ARCHIVE_2026_06_04.md
01_EMERGENTISM_ORG/90_ARCHIVE/08_FRAMEWORK_SUPPORT/04_APPLICATIONS,folder,archive,archive-only-provenance,L6 Sadhu,L1 Candala; L2 Sudra; L3 Vaisya; L4 Ksatriya; L5 Brahmana; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,ARCHIVE_ONLY_COVERED,2026-06-04,Historical Emergentism archive; preserved under K3 and non-authoritative unless active owner lanes cite it.,03_AGENTZ_DEPLOYMENT_90_ARCHIVE_2026_06_04.md
01_EMERGENTISM_ORG/90_ARCHIVE/08_FRAMEWORK_SUPPORT/04_APPLICATIONS/NEUROSCIENCE,folder,archive,archive-only-provenance,L6 Sadhu,L1 Candala; L2 Sudra; L3 Vaisya; L4 Ksatriya; L5 Brahmana; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,ARCHIVE_ONLY_COVERED,2026-06-04,Historical Emergentism archive; preserved under K3 and non-authoritative unless active owner lanes cite it.,03_AGENTZ_DEPLOYMENT_90_ARCHIVE_2026_06_04.md
01_EMERGENTISM_ORG/90_ARCHIVE/08_FRAMEWORK_SUPPORT/04_APPLICATIONS/NEUROSCIENCE/COMMUNITY,folder,archive,archive-only-provenance,L6 Sadhu,L1 Candala; L2 Sudra; L3 Vaisya; L4 Ksatriya; L5 Brahmana; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,ARCHIVE_ONLY_COVERED,2026-06-04,Historical Emergentism archive; preserved under K3 and non-authoritative unless active owner lanes cite it.,03_AGENTZ_DEPLOYMENT_90_ARCHIVE_2026_06_04.md
01_EMERGENTISM_ORG/90_ARCHIVE/08_FRAMEWORK_SUPPORT/04_APPLICATIONS/NEUROSCIENCE/ECONOMY,folder,archive,archive-only-provenance,L6 Sadhu,L1 Candala; L2 Sudra; L3 Vaisya; L4 Ksatriya; L5 Brahmana; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,ARCHIVE_ONLY_COVERED,2026-06-04,Historical Emergentism archive; preserved under K3 and non-authoritative unless active owner lanes cite it.,03_AGENTZ_DEPLOYMENT_90_ARCHIVE_2026_06_04.md
01_EMERGENTISM_ORG/90_ARCHIVE/08_FRAMEWORK_SUPPORT/04_APPLICATIONS/NEUROSCIENCE/ECONOMY/giving,folder,archive,archive-only-provenance,L6 Sadhu,L1 Candala; L2 Sudra; L3 Vaisya; L4 Ksatriya; L5 Brahmana; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,ARCHIVE_ONLY_COVERED,2026-06-04,Historical Emergentism archive; preserved under K3 and non-authoritative unless active owner lanes cite it.,03_AGENTZ_DEPLOYMENT_90_ARCHIVE_2026_06_04.md
01_EMERGENTISM_ORG/90_ARCHIVE/08_FRAMEWORK_SUPPORT/04_APPLICATIONS/NEUROSCIENCE/ECONOMY/k-star,folder,archive,archive-only-provenance,L6 Sadhu,L1 Candala; L2 Sudra; L3 Vaisya; L4 Ksatriya; L5 Brahmana; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,ARCHIVE_ONLY_COVERED,2026-06-04,Historical Emergentism archive; preserved under K3 and non-authoritative unless active owner lanes cite it.,03_AGENTZ_DEPLOYMENT_90_ARCHIVE_2026_06_04.md
