path,kind,zone,mutability,lead_agentz,support_agentz,agentz_passes,status,last_checked,route,receipt
01_EMERGENTISM/09_TOOLS,folder,tools,active-tooling,L5 Brahmana,L1 Candala; L2 Sudra; L3 Vaisya; L4 Ksatriya; L6 Sadhu; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,TOOL_SURFACE_COVERED,2026-06-04,"Tooling layer for scripts, compilers, simulations, pipelines, deploy helpers, packages, agent ops, audit artifacts, and sprint gates.",03_AGENTZ_DEPLOYMENT_09_TOOLS_2026_06_04.md
01_EMERGENTISM/09_TOOLS/01_SCRIPTS,folder,tools,active-tooling,L5 Brahmana,L1 Candala; L2 Sudra; L3 Vaisya; L4 Ksatriya; L6 Sadhu; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,TOOL_SURFACE_COVERED,2026-06-04,"Tooling layer for scripts, compilers, simulations, pipelines, deploy helpers, packages, agent ops, audit artifacts, and sprint gates.",03_AGENTZ_DEPLOYMENT_09_TOOLS_2026_06_04.md
01_EMERGENTISM/09_TOOLS/01_SCRIPTS/01_DAC_SCAFFOLD_MANIFESTS,folder,tools,active-tooling,L5 Brahmana,L1 Candala; L2 Sudra; L3 Vaisya; L4 Ksatriya; L6 Sadhu; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,TOOL_SURFACE_COVERED,2026-06-04,"Tooling layer for scripts, compilers, simulations, pipelines, deploy helpers, packages, agent ops, audit artifacts, and sprint gates.",03_AGENTZ_DEPLOYMENT_09_TOOLS_2026_06_04.md
01_EMERGENTISM/09_TOOLS/02_COMPILERS,folder,tools,active-tooling,L5 Brahmana,L1 Candala; L2 Sudra; L3 Vaisya; L4 Ksatriya; L6 Sadhu; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,TOOL_SURFACE_COVERED,2026-06-04,"Tooling layer for scripts, compilers, simulations, pipelines, deploy helpers, packages, agent ops, audit artifacts, and sprint gates.",03_AGENTZ_DEPLOYMENT_09_TOOLS_2026_06_04.md
01_EMERGENTISM/09_TOOLS/03_SIMULATIONS,folder,tools,active-tooling,L5 Brahmana,L1 Candala; L2 Sudra; L3 Vaisya; L4 Ksatriya; L6 Sadhu; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,TOOL_SURFACE_COVERED,2026-06-04,"Tooling layer for scripts, compilers, simulations, pipelines, deploy helpers, packages, agent ops, audit artifacts, and sprint gates.",03_AGENTZ_DEPLOYMENT_09_TOOLS_2026_06_04.md
01_EMERGENTISM/09_TOOLS/03_SIMULATIONS/00_SCENARIOS,folder,tools,active-tooling,L5 Brahmana,L1 Candala; L2 Sudra; L3 Vaisya; L4 Ksatriya; L6 Sadhu; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,TOOL_SURFACE_COVERED,2026-06-04,"Tooling layer for scripts, compilers, simulations, pipelines, deploy helpers, packages, agent ops, audit artifacts, and sprint gates.",03_AGENTZ_DEPLOYMENT_09_TOOLS_2026_06_04.md
01_EMERGENTISM/09_TOOLS/03_SIMULATIONS/00_SCENARIOS/00_happy,folder,tools,active-tooling,L5 Brahmana,L1 Candala; L2 Sudra; L3 Vaisya; L4 Ksatriya; L6 Sadhu; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,TOOL_SURFACE_COVERED,2026-06-04,"Tooling layer for scripts, compilers, simulations, pipelines, deploy helpers, packages, agent ops, audit artifacts, and sprint gates.",03_AGENTZ_DEPLOYMENT_09_TOOLS_2026_06_04.md
01_EMERGENTISM/09_TOOLS/03_SIMULATIONS/00_SCENARIOS/01_byzantine,folder,tools,active-tooling,L5 Brahmana,L1 Candala; L2 Sudra; L3 Vaisya; L4 Ksatriya; L6 Sadhu; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,TOOL_SURFACE_COVERED,2026-06-04,"Tooling layer for scripts, compilers, simulations, pipelines, deploy helpers, packages, agent ops, audit artifacts, and sprint gates.",03_AGENTZ_DEPLOYMENT_09_TOOLS_2026_06_04.md
01_EMERGENTISM/09_TOOLS/03_SIMULATIONS/00_SCENARIOS/02_withholding,folder,tools,active-tooling,L5 Brahmana,L1 Candala; L2 Sudra; L3 Vaisya; L4 Ksatriya; L6 Sadhu; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,TOOL_SURFACE_COVERED,2026-06-04,"Tooling layer for scripts, compilers, simulations, pipelines, deploy helpers, packages, agent ops, audit artifacts, and sprint gates.",03_AGENTZ_DEPLOYMENT_09_TOOLS_2026_06_04.md
01_EMERGENTISM/09_TOOLS/03_SIMULATIONS/00_SCENARIOS/03_partition,folder,tools,active-tooling,L5 Brahmana,L1 Candala; L2 Sudra; L3 Vaisya; L4 Ksatriya; L6 Sadhu; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,TOOL_SURFACE_COVERED,2026-06-04,"Tooling layer for scripts, compilers, simulations, pipelines, deploy helpers, packages, agent ops, audit artifacts, and sprint gates.",03_AGENTZ_DEPLOYMENT_09_TOOLS_2026_06_04.md
