path,tracked,git_status,bytes,sha256,top_lane,authority_role,proposed_disposition,k_owner_or_relation,proposed_destination,absorber_or_successor,gate,review_state,rationale
.gitattributes,yes,,633,8597a96e2105e15cd6d95bfafe5629b556239ed7e44e2fbd08af3043960648db,(root),ROUTING_CONTROL,KEEP,root routing / unresolved,,,NO_MOVE_PROPOSED,COUNCIL_CLASSIFIED,Root infrastructure/routing card; not doctrine owner.
.gitignore,yes,,514,b2aef7470243bddc700dce2572fd2ea780cc56574287de2b89d015d8698d77a4,(root),ROUTING_CONTROL,KEEP,root routing / unresolved,,,NO_MOVE_PROPOSED,COUNCIL_CLASSIFIED,Root infrastructure/routing card; not doctrine owner.
00_CANONICAL_TREE_OUTLINE.md,yes,,8973,b608ea74d73cd897795f7dec3c68be39f807d74002e1f6b3942a8305985f0b36,(root),EVIDENCE,ROOT_REVIEW_REQUIRED,root routing / unresolved,,,NO_MOVE_BEFORE_FOUNDER_SIGNATURE,NEEDS_OWNER_REVIEW,Root non-infrastructure artifact requires explicit individual disposition.
00_CONTROL/10_OPEN_CANON_FOUNDATION/00_OPEN_CANON_FOUNDATION_CHARTER_DRAFT_v0.1.md,yes,,20164,f54965a17efd623ae461fbe94ad4695a488c2915b919aeac426915b530618bd8,00_CONTROL,EVIDENCE,KEEP_REVIEW,K-7 governance/control,,,NO_MOVE_PROPOSED,NEEDS_OWNER_REVIEW,Owner-lane evidence/control; individual source authority review required before motion.
00_CONTROL/10_OPEN_CANON_FOUNDATION/00_OPEN_CANON_FOUNDATION_CHARTER_v0.1.md,yes,,25685,4e108332c0561304394f85f6a3a0696a9dcd954519ccdf2428332c544645c5ac,00_CONTROL,EVIDENCE,KEEP_REVIEW,K-7 governance/control,,,NO_MOVE_PROPOSED,NEEDS_OWNER_REVIEW,Owner-lane evidence/control; individual source authority review required before motion.
00_CONTROL/10_OPEN_CANON_FOUNDATION/00_OPEN_CANON_FOUNDATION_COUNSEL_COVER_NOTE_v0.1.md,yes,,5128,31df1d255df8d4623f960779c589e756014b6dd38f0b75e274ec4d108d15780c,00_CONTROL,EVIDENCE,KEEP_REVIEW,K-7 governance/control,,,NO_MOVE_PROPOSED,NEEDS_OWNER_REVIEW,Owner-lane evidence/control; individual source authority review required before motion.
00_CONTROL/10_OPEN_CANON_FOUNDATION/00_OPEN_CANON_FOUNDATION_COUNSEL_QUESTIONS_v0.1.md,yes,,14238,38d400df88c2ef42eb32a9bc0776420fef737e1fdbd4b85dc3928b5c9a7b14f3,00_CONTROL,EVIDENCE,KEEP_REVIEW,K-7 governance/control,,,NO_MOVE_PROPOSED,NEEDS_OWNER_REVIEW,Owner-lane evidence/control; individual source authority review required before motion.
00_CONTROL/10_OPEN_CANON_FOUNDATION/00_THE_FIRST_RECEIPT_RECOMMENDATION_v0.1.md,yes,,8636,82d98f2b69df6f56c2b1601527aa8148f6e041775d16e90980f581373afac7fb,00_CONTROL,EVIDENCE,KEEP_REVIEW,K-7 governance/control,,,NO_MOVE_PROPOSED,NEEDS_OWNER_REVIEW,Owner-lane evidence/control; individual source authority review required before motion.
00_CONTROL/GENERATED_TISSUE_RECEIPT.md,yes,,1079,2ce7100fc2ecc1c4f9f698a59703389f0f6b3f03e16f8b7a5e9b0ae02b4caed8,00_CONTROL,EVIDENCE,KEEP_REVIEW,K-7 governance/control,,,NO_MOVE_PROPOSED,NEEDS_OWNER_REVIEW,Owner-lane evidence/control; individual source authority review required before motion.
00_CONTROL/GITHUB_MAP.md,yes,,1670,d727483337f3ce4c138d001213d240e3fe6059678960003deeaf319db1400eee,00_CONTROL,EVIDENCE,KEEP_REVIEW,K-7 governance/control,,,NO_MOVE_PROPOSED,NEEDS_OWNER_REVIEW,Owner-lane evidence/control; individual source authority review required before motion.
00_CONTROL/GITHUB_PUBLICATION_RECEIPT_2026_06_08.md,yes,,6258,886814b0fd6a4973d03b034687dd209feacd4cf10a2baff97639f8f92cc55c92,00_CONTROL,EVIDENCE,KEEP_REVIEW,K-7 governance/control,,,NO_MOVE_PROPOSED,NEEDS_OWNER_REVIEW,Owner-lane evidence/control; individual source authority review required before motion.
00_CONTROL/PRIMETIME_AUDIT/00_AUDIT_CHARTER.md,yes,,4815,8fd0b09b82e3461a46865f59ca663d5c9386228b656cfe63a29d24a9ecb15a76,00_CONTROL,EVIDENCE,KEEP_REVIEW,K-7 governance/control,,,NO_MOVE_PROPOSED,NEEDS_OWNER_REVIEW,Owner-lane evidence/control; individual source authority review required before motion.
00_CONTROL/PRIMETIME_AUDIT/00_COVERAGE_CHECKLIST.md,yes,,6427,18238795070977cd10207ce9afaa91ed65f343b7a9e8a14eb7b4a69e6762c559,00_CONTROL,EVIDENCE,KEEP_REVIEW,K-7 governance/control,,,NO_MOVE_PROPOSED,NEEDS_OWNER_REVIEW,Owner-lane evidence/control; individual source authority review required before motion.
