path,kind,zone,mutability,lead_agentz,support_agentz,agentz_passes,status,last_checked,route,receipt
01_EMERGENTISM_ORG/91_COMPATIBILITY,folder,compatibility,archive-only-provenance,L6 Sadhu,L1 Candala; L2 Sudra; L3 Vaisya; L4 Ksatriya; L5 Brahmana; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,ARCHIVE_ONLY_COVERED,2026-06-04,Historical compatibility evidence; not active doctrine.,03_AGENTZ_DEPLOYMENT_91_COMPATIBILITY_2026_06_04.md
01_EMERGENTISM_ORG/91_COMPATIBILITY/01_FOUNDATIONS,folder,compatibility,archive-only-provenance,L6 Sadhu,L1 Candala; L2 Sudra; L3 Vaisya; L4 Ksatriya; L5 Brahmana; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,ARCHIVE_ONLY_COVERED,2026-06-04,Historical compatibility evidence; not active doctrine.,03_AGENTZ_DEPLOYMENT_91_COMPATIBILITY_2026_06_04.md
01_EMERGENTISM_ORG/91_COMPATIBILITY/01_FOUNDATIONS/00_THE_TRANSCENDENTAL_TRINITY,folder,compatibility,archive-only-provenance,L6 Sadhu,L1 Candala; L2 Sudra; L3 Vaisya; L4 Ksatriya; L5 Brahmana; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,ARCHIVE_ONLY_COVERED,2026-06-04,Historical compatibility evidence; not active doctrine.,03_AGENTZ_DEPLOYMENT_91_COMPATIBILITY_2026_06_04.md
01_EMERGENTISM_ORG/91_COMPATIBILITY/01_FOUNDATIONS/01_FORMAL_SYSTEM,folder,compatibility,archive-only-provenance,L6 Sadhu,L1 Candala; L2 Sudra; L3 Vaisya; L4 Ksatriya; L5 Brahmana; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,ARCHIVE_ONLY_COVERED,2026-06-04,Historical compatibility evidence; not active doctrine.,03_AGENTZ_DEPLOYMENT_91_COMPATIBILITY_2026_06_04.md
01_EMERGENTISM_ORG/91_COMPATIBILITY/01_FOUNDATIONS/02_THE_DERIVATION,folder,compatibility,archive-only-provenance,L6 Sadhu,L1 Candala; L2 Sudra; L3 Vaisya; L4 Ksatriya; L5 Brahmana; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,ARCHIVE_ONLY_COVERED,2026-06-04,Historical compatibility evidence; not active doctrine.,03_AGENTZ_DEPLOYMENT_91_COMPATIBILITY_2026_06_04.md
01_EMERGENTISM_ORG/91_COMPATIBILITY/01_FOUNDATIONS/02_THE_DERIVATION/90_ARCHIVE,folder,compatibility,archive-only-provenance,L6 Sadhu,L1 Candala; L2 Sudra; L3 Vaisya; L4 Ksatriya; L5 Brahmana; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,ARCHIVE_ONLY_COVERED,2026-06-04,Historical compatibility evidence; not active doctrine.,03_AGENTZ_DEPLOYMENT_91_COMPATIBILITY_2026_06_04.md
01_EMERGENTISM_ORG/91_COMPATIBILITY/01_FOUNDATIONS/03_THE_PAPERS,folder,compatibility,archive-only-provenance,L6 Sadhu,L1 Candala; L2 Sudra; L3 Vaisya; L4 Ksatriya; L5 Brahmana; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,ARCHIVE_ONLY_COVERED,2026-06-04,Historical compatibility evidence; not active doctrine.,03_AGENTZ_DEPLOYMENT_91_COMPATIBILITY_2026_06_04.md
01_EMERGENTISM_ORG/91_COMPATIBILITY/01_FOUNDATIONS/00_ANMUT_AND_DEMUT.md,markdown-document,compatibility,archive-only-provenance,L6 Sadhu,L1 Candala; L2 Sudra; L3 Vaisya; L4 Ksatriya; L5 Brahmana; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,ARCHIVE_ONLY_COVERED,2026-06-04,Historical compatibility evidence; not active doctrine.,03_AGENTZ_DEPLOYMENT_91_COMPATIBILITY_2026_06_04.md
01_EMERGENTISM_ORG/91_COMPATIBILITY/01_FOUNDATIONS/00_BRIDGE_LAWS_BETWEEN_LEVELS.md,markdown-document,compatibility,archive-only-provenance,L6 Sadhu,L1 Candala; L2 Sudra; L3 Vaisya; L4 Ksatriya; L5 Brahmana; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,ARCHIVE_ONLY_COVERED,2026-06-04,Historical compatibility evidence; not active doctrine.,03_AGENTZ_DEPLOYMENT_91_COMPATIBILITY_2026_06_04.md
01_EMERGENTISM_ORG/91_COMPATIBILITY/01_FOUNDATIONS/00_CANONICAL_CLAIM_MATRIX.md,markdown-document,compatibility,archive-only-provenance,L6 Sadhu,L1 Candala; L2 Sudra; L3 Vaisya; L4 Ksatriya; L5 Brahmana; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,ARCHIVE_ONLY_COVERED,2026-06-04,Historical compatibility evidence; not active doctrine.,03_AGENTZ_DEPLOYMENT_91_COMPATIBILITY_2026_06_04.md
01_EMERGENTISM_ORG/91_COMPATIBILITY/01_FOUNDATIONS/00_CANONICAL_FORMULA_BLOCK.md,markdown-document,compatibility,archive-only-provenance,L6 Sadhu,L1 Candala; L2 Sudra; L3 Vaisya; L4 Ksatriya; L5 Brahmana; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,ARCHIVE_ONLY_COVERED,2026-06-04,Historical compatibility evidence; not active doctrine.,03_AGENTZ_DEPLOYMENT_91_COMPATIBILITY_2026_06_04.md
01_EMERGENTISM_ORG/91_COMPATIBILITY/01_FOUNDATIONS/00_COMMANDMENT_VS_GEOMETRY.md,markdown-document,compatibility,archive-only-provenance,L6 Sadhu,L1 Candala; L2 Sudra; L3 Vaisya; L4 Ksatriya; L5 Brahmana; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,ARCHIVE_ONLY_COVERED,2026-06-04,Historical compatibility evidence; not active doctrine.,03_AGENTZ_DEPLOYMENT_91_COMPATIBILITY_2026_06_04.md
01_EMERGENTISM_ORG/91_COMPATIBILITY/01_FOUNDATIONS/00_CONSTITUTIONAL_SCIENCE.md,markdown-document,compatibility,archive-only-provenance,L6 Sadhu,L1 Candala; L2 Sudra; L3 Vaisya; L4 Ksatriya; L5 Brahmana; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,ARCHIVE_ONLY_COVERED,2026-06-04,Historical compatibility evidence; not active doctrine.,03_AGENTZ_DEPLOYMENT_91_COMPATIBILITY_2026_06_04.md
01_EMERGENTISM_ORG/91_COMPATIBILITY/01_FOUNDATIONS/00_CORPUS.md,markdown-document,compatibility,archive-only-provenance,L6 Sadhu,L1 Candala; L2 Sudra; L3 Vaisya; L4 Ksatriya; L5 Brahmana; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,ARCHIVE_ONLY_COVERED,2026-06-04,Historical compatibility evidence; not active doctrine.,03_AGENTZ_DEPLOYMENT_91_COMPATIBILITY_2026_06_04.md
01_EMERGENTISM_ORG/91_COMPATIBILITY/01_FOUNDATIONS/00_D5_AS_THE_RESEARCH_ENGINE.md,markdown-document,compatibility,archive-only-provenance,L6 Sadhu,L1 Candala; L2 Sudra; L3 Vaisya; L4 Ksatriya; L5 Brahmana; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,ARCHIVE_ONLY_COVERED,2026-06-04,Historical compatibility evidence; not active doctrine.,03_AGENTZ_DEPLOYMENT_91_COMPATIBILITY_2026_06_04.md
01_EMERGENTISM_ORG/91_COMPATIBILITY/01_FOUNDATIONS/00_D5_D6_CORPUS_STABILIZATION.md,markdown-document,compatibility,archive-only-provenance,L6 Sadhu,L1 Candala; L2 Sudra; L3 Vaisya; L4 Ksatriya; L5 Brahmana; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,ARCHIVE_ONLY_COVERED,2026-06-04,Historical compatibility evidence; not active doctrine.,03_AGENTZ_DEPLOYMENT_91_COMPATIBILITY_2026_06_04.md
01_EMERGENTISM_ORG/91_COMPATIBILITY/01_FOUNDATIONS/00_D5_REGISTER_GAME_THEORY_AND_BEHAVIORAL_ECONOMICS.md,markdown-document,compatibility,archive-only-provenance,L6 Sadhu,L1 Candala; L2 Sudra; L3 Vaisya; L4 Ksatriya; L5 Brahmana; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,ARCHIVE_ONLY_COVERED,2026-06-04,Historical compatibility evidence; not active doctrine.,03_AGENTZ_DEPLOYMENT_91_COMPATIBILITY_2026_06_04.md
01_EMERGENTISM_ORG/91_COMPATIBILITY/01_FOUNDATIONS/00_D6_AS_APOPHATIC_CLOSURE.md,markdown-document,compatibility,archive-only-provenance,L6 Sadhu,L1 Candala; L2 Sudra; L3 Vaisya; L4 Ksatriya; L5 Brahmana; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,ARCHIVE_ONLY_COVERED,2026-06-04,Historical compatibility evidence; not active doctrine.,03_AGENTZ_DEPLOYMENT_91_COMPATIBILITY_2026_06_04.md
01_EMERGENTISM_ORG/91_COMPATIBILITY/01_FOUNDATIONS/00_D_LEVEL_STUDIES.md,markdown-document,compatibility,archive-only-provenance,L6 Sadhu,L1 Candala; L2 Sudra; L3 Vaisya; L4 Ksatriya; L5 Brahmana; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,ARCHIVE_ONLY_COVERED,2026-06-04,Historical compatibility evidence; not active doctrine.,03_AGENTZ_DEPLOYMENT_91_COMPATIBILITY_2026_06_04.md
01_EMERGENTISM_ORG/91_COMPATIBILITY/01_FOUNDATIONS/00_EMERGENTISM.md,markdown-document,compatibility,archive-only-provenance,L6 Sadhu,L1 Candala; L2 Sudra; L3 Vaisya; L4 Ksatriya; L5 Brahmana; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,ARCHIVE_ONLY_COVERED,2026-06-04,Historical compatibility evidence; not active doctrine.,03_AGENTZ_DEPLOYMENT_91_COMPATIBILITY_2026_06_04.md
01_EMERGENTISM_ORG/91_COMPATIBILITY/01_FOUNDATIONS/00_EMERGENTISM_AS_WELTANSCHAUUNG.md,markdown-document,compatibility,archive-only-provenance,L6 Sadhu,L1 Candala; L2 Sudra; L3 Vaisya; L4 Ksatriya; L5 Brahmana; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,ARCHIVE_ONLY_COVERED,2026-06-04,Historical compatibility evidence; not active doctrine.,03_AGENTZ_DEPLOYMENT_91_COMPATIBILITY_2026_06_04.md
