path,kind,zone,mutability,lead_agentz,support_agentz,agentz_passes,status,last_checked,route,receipt
01_EMERGENTISM/02_EPISTEMOLOGY,folder,epistemology-root,classify-before-edit,L2 Sudra,L1 Candala; L3 Vaisya; L5 Brahmana; L6 Sadhu; L7 Rsi,L1+L2+L3+L5+L6+L7,ROUTE_CARD_ACTIVE,2026-06-04,L2 disclosure and evidence-reception owner lane,03_AGENTZ_DEPLOYMENT_02_EPISTEMOLOGY_2026_06_04.md
01_EMERGENTISM/02_EPISTEMOLOGY/00_FLOW_STATE_AS_EPISTEMIC_MODE.md,markdown-document,epistemology-root,active-doctrine-with-tier-discipline,L2 Sudra,L3 Vaisya; L6 Sadhu,L1+L2+L3+L5+L6+L7,DOCUMENT_COVERED,2026-06-04,Flow-state epistemic mode remains L2 disclosure material subject to A7,03_AGENTZ_DEPLOYMENT_02_EPISTEMOLOGY_2026_06_04.md
01_EMERGENTISM/02_EPISTEMOLOGY/00_I_IS_THE_EQUATOR.md,markdown-document,epistemology-root,active-doctrine-with-tier-discipline,L2 Sudra,L3 Vaisya; L6 Sadhu,L1+L2+L3+L5+L6+L7,DOCUMENT_COVERED,2026-06-04,Witness-system awareness surface remains candidate-disclosure material until method audited,03_AGENTZ_DEPLOYMENT_02_EPISTEMOLOGY_2026_06_04.md
01_EMERGENTISM/02_EPISTEMOLOGY/00_OPAQUE_FROM_BELOW_LEGIBLE_FROM_ABOVE.md,markdown-document,epistemology-root,active-doctrine-with-tier-discipline,L2 Sudra,L3 Vaisya; L5 Brahmana; L6 Sadhu,L1+L2+L3+L5+L6+L7,DOCUMENT_COVERED,2026-06-04,Epistemic-structure text routed through disclosure before topology and receipt review,03_AGENTZ_DEPLOYMENT_02_EPISTEMOLOGY_2026_06_04.md
01_EMERGENTISM/02_EPISTEMOLOGY/00_PRATYAKSA_AS_PRIMARY_DISCLOSURE.md,markdown-document,epistemology-root,active-doctrine-with-tier-discipline,L2 Sudra,L1 Candala; L3 Vaisya; L6 Sadhu,L1+L2+L3+L5+L6+L7,DOCUMENT_COVERED,2026-06-04,Direct perception doctrine must not bypass public method or evidence tiers,03_AGENTZ_DEPLOYMENT_02_EPISTEMOLOGY_2026_06_04.md
01_EMERGENTISM/02_EPISTEMOLOGY/00_THE_BRAIN_IS_THE_BURRI_SPHERE.md,markdown-document,epistemology-root,active-doctrine-with-tier-discipline,L2 Sudra,L3 Vaisya; L5 Brahmana; L6 Sadhu,L1+L2+L3+L5+L6+L7,DOCUMENT_COVERED,2026-06-04,Neuroscience analogy remains tier-bounded and must not upgrade beyond receipts,03_AGENTZ_DEPLOYMENT_02_EPISTEMOLOGY_2026_06_04.md
01_EMERGENTISM/02_EPISTEMOLOGY/01_EVIDENCE_TIERS,folder,evidence-tiers,classify-before-edit,L2 Sudra,L3 Vaisya; L4 Ksatriya; L5 Brahmana; L6 Sadhu,L1+L2+L3+L5+L6+L7,ROUTE_CARD_ACTIVE,2026-06-04,Evidence ladder and claim-admission sublane,03_AGENTZ_DEPLOYMENT_02_EPISTEMOLOGY_2026_06_04.md
01_EMERGENTISM/02_EPISTEMOLOGY/01_EVIDENCE_TIERS/00_THE_HONEST_POSITION.md,markdown-document,evidence-tiers,active-evidence-authority,L2 Sudra,L3 Vaisya; L5 Brahmana; L6 Sadhu,L1+L2+L3+L5+L6+L7,DOCUMENT_COVERED,2026-06-04,Evidence-tier authority and legacy tier translation anchor,03_AGENTZ_DEPLOYMENT_02_EPISTEMOLOGY_2026_06_04.md
01_EMERGENTISM/02_EPISTEMOLOGY/01_EVIDENCE_TIERS/AGENTS.md,markdown-document,evidence-tiers,route-card,L2 Sudra,L3 Vaisya; L5 Brahmana; L6 Sadhu,L1+L2+L3+L5+L6+L7,ROUTE_CARD_ACTIVE,2026-06-04,Local Agentz route card for evidence-tier discipline,03_AGENTZ_DEPLOYMENT_02_EPISTEMOLOGY_2026_06_04.md
01_EMERGENTISM/02_EPISTEMOLOGY/01_EVIDENCE_TIERS/CLAUDE.md,markdown-document,evidence-tiers,compatibility-route-card,L2 Sudra,L3 Vaisya; L6 Sadhu,L1+L2+L3+L5+L6+L7,CLAUDE_SHIM_ACTIVE,2026-06-04,Claude-style first-touch shim inherits AGENTS authority,03_AGENTZ_DEPLOYMENT_02_EPISTEMOLOGY_2026_06_04.md
