path,kind,zone,mutability,lead_agentz,support_agentz,agentz_passes,status,last_checked,route,receipt
01_EMERGENTISM/04_AXIOLOGY,folder,axiology-root,active-axiology-with-k2-discipline,L4 Ksatriya,L1 Candala; L2 Sudra; L3 Vaisya; L5 Brahmana; L6 Sadhu; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,ROUTE_SURFACE_COVERED,2026-06-04,"Axiology root; value, justice, K2, refusal, and smallest defensible commit.",03_AGENTZ_DEPLOYMENT_04_AXIOLOGY_2026_06_04.md
01_EMERGENTISM/04_AXIOLOGY/01_THEURGY,folder,theurgy,k2-action-discipline-with-receipts,L4 Ksatriya,L1 Candala; L2 Sudra; L3 Vaisya; L5 Brahmana; L6 Sadhu; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,ROUTE_SURFACE_COVERED,2026-06-04,K2 participation and signed-action discipline; AI may prepare but not sign.,03_AGENTZ_DEPLOYMENT_04_AXIOLOGY_2026_06_04.md
01_EMERGENTISM/04_AXIOLOGY/02_VALUE_THEORY,folder,value-theory,value-theory-with-tier-discipline,L4 Ksatriya,L1 Candala; L2 Sudra; L3 Vaisya; L5 Brahmana; L6 Sadhu; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,ROUTE_SURFACE_COVERED,2026-06-04,"Value theory, rights, duties, due process; keep moral claims tiered and non-extractive.",03_AGENTZ_DEPLOYMENT_04_AXIOLOGY_2026_06_04.md
01_EMERGENTISM_ORG/04_AXIOLOGY/90_ARCHIVE,folder,axiology-archive,archive-only-non-authority,L6 Sadhu,L1 Candala; L2 Sudra; L3 Vaisya; L4 Ksatriya; L5 Brahmana; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,ARCHIVE_ROUTE_COVERED,2026-06-04,Archive-only provenance; verify against current axiology owner before reuse.,03_AGENTZ_DEPLOYMENT_04_AXIOLOGY_2026_06_04.md
01_EMERGENTISM/04_AXIOLOGY/00_ANMUT_AND_DEMUT.md,markdown-document,axiology-root,active-axiology-with-k2-discipline,L4 Ksatriya,L1 Candala; L2 Sudra; L3 Vaisya; L5 Brahmana; L6 Sadhu; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,DOCUMENT_COVERED,2026-06-04,"Axiology root; value, justice, K2, refusal, and smallest defensible commit.",03_AGENTZ_DEPLOYMENT_04_AXIOLOGY_2026_06_04.md
01_EMERGENTISM/04_AXIOLOGY/00_BRIDGE_LAWS_BETWEEN_LEVELS.md,markdown-document,axiology-root,active-axiology-with-k2-discipline,L4 Ksatriya,L1 Candala; L2 Sudra; L3 Vaisya; L5 Brahmana; L6 Sadhu; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,DOCUMENT_COVERED,2026-06-04,"Axiology root; value, justice, K2, refusal, and smallest defensible commit.",03_AGENTZ_DEPLOYMENT_04_AXIOLOGY_2026_06_04.md
01_EMERGENTISM/04_AXIOLOGY/00_COMMANDMENT_VS_GEOMETRY.md,markdown-document,axiology-root,active-axiology-with-k2-discipline,L4 Ksatriya,L1 Candala; L2 Sudra; L3 Vaisya; L5 Brahmana; L6 Sadhu; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,DOCUMENT_COVERED,2026-06-04,"Axiology root; value, justice, K2, refusal, and smallest defensible commit.",03_AGENTZ_DEPLOYMENT_04_AXIOLOGY_2026_06_04.md
01_EMERGENTISM/04_AXIOLOGY/00_CONSTITUTIONAL_ECONOMICS.md,markdown-document,axiology-root,active-axiology-with-k2-discipline,L4 Ksatriya,L1 Candala; L2 Sudra; L3 Vaisya; L5 Brahmana; L6 Sadhu; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,DOCUMENT_COVERED,2026-06-04,"Axiology root; value, justice, K2, refusal, and smallest defensible commit.",03_AGENTZ_DEPLOYMENT_04_AXIOLOGY_2026_06_04.md
01_EMERGENTISM/04_AXIOLOGY/01_THEURGY/00_THEURGY_AND_F5_FORCE_MAP.md,markdown-document,theurgy,k2-action-discipline-with-receipts,L4 Ksatriya,L1 Candala; L2 Sudra; L3 Vaisya; L5 Brahmana; L6 Sadhu; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,DOCUMENT_COVERED,2026-06-04,K2 participation and signed-action discipline; AI may prepare but not sign.,03_AGENTZ_DEPLOYMENT_04_AXIOLOGY_2026_06_04.md
01_EMERGENTISM/04_AXIOLOGY/01_THEURGY/01_K2_DECISION_PROTOCOL.md,markdown-document,theurgy,k2-action-discipline-with-receipts,L4 Ksatriya,L1 Candala; L2 Sudra; L3 Vaisya; L5 Brahmana; L6 Sadhu; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,DOCUMENT_COVERED,2026-06-04,K2 participation and signed-action discipline; AI may prepare but not sign.,03_AGENTZ_DEPLOYMENT_04_AXIOLOGY_2026_06_04.md
01_EMERGENTISM/04_AXIOLOGY/01_THEURGY/AGENTS.md,route-card,theurgy,route-card,L4 Ksatriya,L1 Candala; L2 Sudra; L3 Vaisya; L5 Brahmana; L6 Sadhu; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,ROUTE_CARD_ACTIVE,2026-06-04,K2 participation and signed-action discipline; AI may prepare but not sign.,03_AGENTZ_DEPLOYMENT_04_AXIOLOGY_2026_06_04.md
01_EMERGENTISM/04_AXIOLOGY/01_THEURGY/CLAUDE.md,compatibility-route-card,theurgy,compatibility-route-card,L4 Ksatriya,L1 Candala; L2 Sudra; L3 Vaisya; L5 Brahmana; L6 Sadhu; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,CLAUDE_SHIM_ACTIVE,2026-06-04,K2 participation and signed-action discipline; AI may prepare but not sign.,03_AGENTZ_DEPLOYMENT_04_AXIOLOGY_2026_06_04.md
01_EMERGENTISM/04_AXIOLOGY/01_THEURGY/README.md,front-door,theurgy,front-door,L4 Ksatriya,L1 Candala; L2 Sudra; L3 Vaisya; L5 Brahmana; L6 Sadhu; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,FRONT_DOOR_ACTIVE,2026-06-04,K2 participation and signed-action discipline; AI may prepare but not sign.,03_AGENTZ_DEPLOYMENT_04_AXIOLOGY_2026_06_04.md
01_EMERGENTISM/04_AXIOLOGY/02_VALUE_THEORY/00_OBJECTIVE_MORALS_AND_ETHICS.md,markdown-document,value-theory,value-theory-with-tier-discipline,L4 Ksatriya,L1 Candala; L2 Sudra; L3 Vaisya; L5 Brahmana; L6 Sadhu; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,DOCUMENT_COVERED,2026-06-04,"Value theory, rights, duties, due process; keep moral claims tiered and non-extractive.",03_AGENTZ_DEPLOYMENT_04_AXIOLOGY_2026_06_04.md
01_EMERGENTISM/04_AXIOLOGY/02_VALUE_THEORY/00_THE_GOOD_THE_EVIL_AND_THE_TRANSCENDENTALS.md,markdown-document,value-theory,value-theory-with-tier-discipline,L4 Ksatriya,L1 Candala; L2 Sudra; L3 Vaisya; L5 Brahmana; L6 Sadhu; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,DOCUMENT_COVERED,2026-06-04,"Value theory, rights, duties, due process; keep moral claims tiered and non-extractive.",03_AGENTZ_DEPLOYMENT_04_AXIOLOGY_2026_06_04.md
01_EMERGENTISM/04_AXIOLOGY/02_VALUE_THEORY/01_RIGHTS_DUTIES_AND_DUE_PROCESS.md,markdown-document,value-theory,value-theory-with-tier-discipline,L4 Ksatriya,L1 Candala; L2 Sudra; L3 Vaisya; L5 Brahmana; L6 Sadhu; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,DOCUMENT_COVERED,2026-06-04,"Value theory, rights, duties, due process; keep moral claims tiered and non-extractive.",03_AGENTZ_DEPLOYMENT_04_AXIOLOGY_2026_06_04.md
01_EMERGENTISM/04_AXIOLOGY/02_VALUE_THEORY/AGENTS.md,route-card,value-theory,route-card,L4 Ksatriya,L1 Candala; L2 Sudra; L3 Vaisya; L5 Brahmana; L6 Sadhu; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,ROUTE_CARD_ACTIVE,2026-06-04,"Value theory, rights, duties, due process; keep moral claims tiered and non-extractive.",03_AGENTZ_DEPLOYMENT_04_AXIOLOGY_2026_06_04.md
01_EMERGENTISM/04_AXIOLOGY/02_VALUE_THEORY/CLAUDE.md,compatibility-route-card,value-theory,compatibility-route-card,L4 Ksatriya,L1 Candala; L2 Sudra; L3 Vaisya; L5 Brahmana; L6 Sadhu; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,CLAUDE_SHIM_ACTIVE,2026-06-04,"Value theory, rights, duties, due process; keep moral claims tiered and non-extractive.",03_AGENTZ_DEPLOYMENT_04_AXIOLOGY_2026_06_04.md
01_EMERGENTISM/04_AXIOLOGY/02_VALUE_THEORY/README.md,front-door,value-theory,front-door,L4 Ksatriya,L1 Candala; L2 Sudra; L3 Vaisya; L5 Brahmana; L6 Sadhu; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,FRONT_DOOR_ACTIVE,2026-06-04,"Value theory, rights, duties, due process; keep moral claims tiered and non-extractive.",03_AGENTZ_DEPLOYMENT_04_AXIOLOGY_2026_06_04.md
01_EMERGENTISM_ORG/04_AXIOLOGY/90_ARCHIVE/AGENTS.md,route-card,axiology-archive,archive-only-non-authority,L6 Sadhu,L1 Candala; L2 Sudra; L3 Vaisya; L4 Ksatriya; L5 Brahmana; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,ARCHIVE_DOCUMENT_COVERED,2026-06-04,Archive-only provenance; verify against current axiology owner before reuse.,03_AGENTZ_DEPLOYMENT_04_AXIOLOGY_2026_06_04.md
01_EMERGENTISM_ORG/04_AXIOLOGY/90_ARCHIVE/AUDIT_04_AXIOLOGY_2026_04_25.md,markdown-document,axiology-archive,archive-only-non-authority,L6 Sadhu,L1 Candala; L2 Sudra; L3 Vaisya; L4 Ksatriya; L5 Brahmana; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,ARCHIVE_DOCUMENT_COVERED,2026-06-04,Archive-only provenance; verify against current axiology owner before reuse.,03_AGENTZ_DEPLOYMENT_04_AXIOLOGY_2026_06_04.md
01_EMERGENTISM_ORG/04_AXIOLOGY/90_ARCHIVE/CLAUDE.md,compatibility-route-card,axiology-archive,archive-only-non-authority,L6 Sadhu,L1 Candala; L2 Sudra; L3 Vaisya; L4 Ksatriya; L5 Brahmana; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,ARCHIVE_DOCUMENT_COVERED,2026-06-04,Archive-only provenance; verify against current axiology owner before reuse.,03_AGENTZ_DEPLOYMENT_04_AXIOLOGY_2026_06_04.md
01_EMERGENTISM_ORG/04_AXIOLOGY/90_ARCHIVE/README.md,front-door,axiology-archive,archive-only-non-authority,L6 Sadhu,L1 Candala; L2 Sudra; L3 Vaisya; L4 Ksatriya; L5 Brahmana; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,ARCHIVE_DOCUMENT_COVERED,2026-06-04,Archive-only provenance; verify against current axiology owner before reuse.,03_AGENTZ_DEPLOYMENT_04_AXIOLOGY_2026_06_04.md
01_EMERGENTISM/04_AXIOLOGY/AGENTS.md,route-card,axiology-root,route-card,L4 Ksatriya,L1 Candala; L2 Sudra; L3 Vaisya; L5 Brahmana; L6 Sadhu; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,ROUTE_CARD_ACTIVE,2026-06-04,"Axiology root; value, justice, K2, refusal, and smallest defensible commit.",03_AGENTZ_DEPLOYMENT_04_AXIOLOGY_2026_06_04.md
01_EMERGENTISM/04_AXIOLOGY/CLAUDE.md,compatibility-route-card,axiology-root,compatibility-route-card,L4 Ksatriya,L1 Candala; L2 Sudra; L3 Vaisya; L5 Brahmana; L6 Sadhu; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,CLAUDE_SHIM_ACTIVE,2026-06-04,"Axiology root; value, justice, K2, refusal, and smallest defensible commit.",03_AGENTZ_DEPLOYMENT_04_AXIOLOGY_2026_06_04.md
01_EMERGENTISM/04_AXIOLOGY/README.md,front-door,axiology-root,front-door,L4 Ksatriya,L1 Candala; L2 Sudra; L3 Vaisya; L5 Brahmana; L6 Sadhu; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,FRONT_DOOR_ACTIVE,2026-06-04,"Axiology root; value, justice, K2, refusal, and smallest defensible commit.",03_AGENTZ_DEPLOYMENT_04_AXIOLOGY_2026_06_04.md
